condition	palavra	math	math_resp	list_name	probe_item	item_condition	corr_ans	initial_instructions.thisRepN	initial_instructions.thisTrialN	initial_instructions.thisN	initial_instructions.thisIndex	list_choice.thisRepN	list_choice.thisTrialN	list_choice.thisN	list_choice.thisIndex	study_phase.thisRepN	study_phase.thisTrialN	study_phase.thisN	study_phase.thisIndex	distractor_trial_instructions.thisRepN	distractor_trial_instructions.thisTrialN	distractor_trial_instructions.thisN	distractor_trial_instructions.thisIndex	distractor_phase.thisRepN	distractor_phase.thisTrialN	distractor_phase.thisN	distractor_phase.thisIndex	test_trial_instructions.thisRepN	test_trial_instructions.thisTrialN	test_trial_instructions.thisN	test_trial_instructions.thisIndex	test_phase.thisRepN	test_phase.thisTrialN	test_phase.thisN	test_phase.thisIndex	instructions_msg.started	instructions_msg.stopped	spacebar_msg.started	spacebar_msg.stopped	word.started	word.stopped	math_trial.started	math_trial.stopped	math_trial_resp.keys	math_trial_resp.corr	math_trial_resp.started	math_trial_resp.stopped	fixation_cross.started	fixation_cross.stopped	general_instruction.started	general_instruction.stopped	test_trial_word.started	test_trial_word.stopped	test_trial_resp.keys	test_trial_resp.corr	test_trial_resp.rt	test_trial_resp.started	test_trial_resp.stopped	end.started	end.stopped	participant	session	date	expName	psychopyVersion	frameRate
montanha	escalada											0	0	0	8	0	0	0	0																	24.96562891	None	24.96562891	None	26.52307262	None																					1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
montanha	natureza											0	0	0	8	0	1	1	1																					27.99644553	None																					1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
montanha	beleza											0	0	0	8	0	2	2	2																					29.48554648	None																					1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
montanha	árvores											0	0	0	8	0	3	3	3																					30.99234116	None																					1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
montanha	liberdade											0	0	0	8	0	4	4	4																					32.48208708	None																					1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
montanha	alpinismo											0	0	0	8	0	5	5	5																					33.98827441	None																					1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
montanha	aventura											0	0	0	8	0	6	6	6																					35.47802238	None																					1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
montanha	subir											0	0	0	8	0	7	7	7																					36.9675125	None																					1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
montanha	rocha											0	0	0	8	0	8	8	8																					38.45732477	37.48539533																					1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
montanha	russa											0	0	0	8	0	9	9	9																					39.94709668	38.9751563																					1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
montanha	obstáculo											0	0	0	8	0	10	10	10																					41.43685901	40.46599859																					1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
montanha	serra											0	0	0	8	0	11	11	11																					42.92602289	41.95575408																					1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
montanha	terra											0	0	0	8	0	12	12	12																					44.41569563	43.44430104																					1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
montanha	pico											0	0	0	8	0	13	13	13																					45.90546002	44.93467072																					1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
