English,Portuguese,Inupiaq,initial_presentation_cycles.thisRepN,initial_presentation_cycles.thisTrialN,initial_presentation_cycles.thisN,initial_presentation_cycles.thisIndex,initial_presentation_trials.thisRepN,initial_presentation_trials.thisTrialN,initial_presentation_trials.thisN,initial_presentation_trials.thisIndex,practice_phase_blocks.thisRepN,practice_phase_blocks.thisTrialN,practice_phase_blocks.thisN,practice_phase_blocks.thisIndex,practice_phase_cycles.thisRepN,practice_phase_cycles.thisTrialN,practice_phase_cycles.thisN,practice_phase_cycles.thisIndex,practice_phase_trials.thisRepN,practice_phase_trials.thisTrialN,practice_phase_trials.thisN,practice_phase_trials.thisIndex,final_test_trials.thisRepN,final_test_trials.thisTrialN,final_test_trials.thisN,final_test_trials.thisIndex,instr_msg.started,instr_resp.started,instr_resp.keys,instr_resp.rt,cue_practice.started,target_practice.started,key_practice.started,condition_name.started,key_practice.keys,key_practice.rt,cue_final.started,target_final.started,key_final.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,16.25424649999968,16.25424649999968,space,4.494258699999591,,,,,,,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
tea,chá,saiyu,0,0,0,0,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
cliff,penhasco,ikpik,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
duck,pato,mitiq,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
rainbow,arco-íris,nigaq,0,0,0,0,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
sled,trenó,uniat,0,0,0,0,0,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
kidney,rim,taqtu,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
dust,pó,apyuq,0,0,0,0,0,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
heaven,paraíso,qixak,0,0,0,0,0,7,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
mark,marca,aglak,0,0,0,0,0,8,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
thread,fio,ivalu,0,0,0,0,0,9,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
boot,bota,kamik,0,0,0,0,0,10,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
snail,lesma,uvixu,0,0,0,0,0,11,11,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
