English,Portuguese,Inupiaq,initial_presentation_cycles.thisRepN,initial_presentation_cycles.thisTrialN,initial_presentation_cycles.thisN,initial_presentation_cycles.thisIndex,initial_presentation_trials.thisRepN,initial_presentation_trials.thisTrialN,initial_presentation_trials.thisN,initial_presentation_trials.thisIndex,practice_phase_blocks.thisRepN,practice_phase_blocks.thisTrialN,practice_phase_blocks.thisN,practice_phase_blocks.thisIndex,practice_phase_cycles.thisRepN,practice_phase_cycles.thisTrialN,practice_phase_cycles.thisN,practice_phase_cycles.thisIndex,practice_phase_trials.thisRepN,practice_phase_trials.thisTrialN,practice_phase_trials.thisN,practice_phase_trials.thisIndex,instr_msg.started,instr_resp.started,instr_resp.keys,instr_resp.rt,cue_practice.started,target_practice.started,resp_practice.started,condition_name.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,30.34284630000002,30.34284630000002,space,6.872369400000025,,,,,,001,2022-07-26_10h35.31.439,finley_et_al,2022.2.1,59.057047927070705,
tea,chá,saiyu,0,0,0,0,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h35.31.439,finley_et_al,2022.2.1,59.057047927070705,
dust,pó,apyuq,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h35.31.439,finley_et_al,2022.2.1,59.057047927070705,
boot,bota,kamik,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h35.31.439,finley_et_al,2022.2.1,59.057047927070705,
kidney,rim,taqtu,0,0,0,0,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h35.31.439,finley_et_al,2022.2.1,59.057047927070705,
mark,marca,aglak,0,0,0,0,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h35.31.439,finley_et_al,2022.2.1,59.057047927070705,
thread,fio,ivalu,0,0,0,0,0,5,5,11,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h35.31.439,finley_et_al,2022.2.1,59.057047927070705,
sled,trenó,uniat,0,0,0,0,0,6,6,8,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h35.31.439,finley_et_al,2022.2.1,59.057047927070705,
snail,lesma,uvixu,0,0,0,0,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h35.31.439,finley_et_al,2022.2.1,59.057047927070705,
rainbow,arco-íris,nigaq,0,0,0,0,0,8,8,7,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h35.31.439,finley_et_al,2022.2.1,59.057047927070705,
heaven,paraíso,qixak,0,0,0,0,0,9,9,4,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h35.31.439,finley_et_al,2022.2.1,59.057047927070705,
cliff,penhasco,ikpik,0,0,0,0,0,10,10,1,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h35.31.439,finley_et_al,2022.2.1,59.057047927070705,
duck,pato,mitiq,0,0,0,0,0,11,11,2,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h35.31.439,finley_et_al,2022.2.1,59.057047927070705,
tea,chá,saiyu,1,0,1,0,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h35.31.439,finley_et_al,2022.2.1,59.057047927070705,
dust,pó,apyuq,1,0,1,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h35.31.439,finley_et_al,2022.2.1,59.057047927070705,
boot,bota,kamik,1,0,1,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h35.31.439,finley_et_al,2022.2.1,59.057047927070705,
kidney,rim,taqtu,1,0,1,0,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h35.31.439,finley_et_al,2022.2.1,59.057047927070705,
mark,marca,aglak,1,0,1,0,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h35.31.439,finley_et_al,2022.2.1,59.057047927070705,
thread,fio,ivalu,1,0,1,0,0,5,5,11,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h35.31.439,finley_et_al,2022.2.1,59.057047927070705,
sled,trenó,uniat,1,0,1,0,0,6,6,8,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h35.31.439,finley_et_al,2022.2.1,59.057047927070705,
snail,lesma,uvixu,1,0,1,0,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h35.31.439,finley_et_al,2022.2.1,59.057047927070705,
rainbow,arco-íris,nigaq,1,0,1,0,0,8,8,7,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h35.31.439,finley_et_al,2022.2.1,59.057047927070705,
heaven,paraíso,qixak,1,0,1,0,0,9,9,4,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h35.31.439,finley_et_al,2022.2.1,59.057047927070705,
cliff,penhasco,ikpik,1,0,1,0,0,10,10,1,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h35.31.439,finley_et_al,2022.2.1,59.057047927070705,
duck,pato,mitiq,1,0,1,0,0,11,11,2,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h35.31.439,finley_et_al,2022.2.1,59.057047927070705,
tea,chá,saiyu,2,0,2,0,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h35.31.439,finley_et_al,2022.2.1,59.057047927070705,
dust,pó,apyuq,2,0,2,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h35.31.439,finley_et_al,2022.2.1,59.057047927070705,
boot,bota,kamik,2,0,2,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h35.31.439,finley_et_al,2022.2.1,59.057047927070705,
kidney,rim,taqtu,2,0,2,0,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h35.31.439,finley_et_al,2022.2.1,59.057047927070705,
mark,marca,aglak,2,0,2,0,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h35.31.439,finley_et_al,2022.2.1,59.057047927070705,
thread,fio,ivalu,2,0,2,0,0,5,5,11,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h35.31.439,finley_et_al,2022.2.1,59.057047927070705,
sled,trenó,uniat,2,0,2,0,0,6,6,8,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h35.31.439,finley_et_al,2022.2.1,59.057047927070705,
snail,lesma,uvixu,2,0,2,0,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h35.31.439,finley_et_al,2022.2.1,59.057047927070705,
rainbow,arco-íris,nigaq,2,0,2,0,0,8,8,7,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h35.31.439,finley_et_al,2022.2.1,59.057047927070705,
heaven,paraíso,qixak,2,0,2,0,0,9,9,4,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h35.31.439,finley_et_al,2022.2.1,59.057047927070705,
cliff,penhasco,ikpik,2,0,2,0,0,10,10,1,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h35.31.439,finley_et_al,2022.2.1,59.057047927070705,
duck,pato,mitiq,2,0,2,0,0,11,11,2,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h35.31.439,finley_et_al,2022.2.1,59.057047927070705,
,,,,,,,,,,,,,,,,,,,,,,,,,,,37.36659090000012,37.36659090000012,37.36659090000012,37.36659090000012,,,,,,,
