English,Portuguese,Inupiaq,initial_presentation_cycles.thisRepN,initial_presentation_cycles.thisTrialN,initial_presentation_cycles.thisN,initial_presentation_cycles.thisIndex,initial_presentation_trials.thisRepN,initial_presentation_trials.thisTrialN,initial_presentation_trials.thisN,initial_presentation_trials.thisIndex,practice_phase_blocks.thisRepN,practice_phase_blocks.thisTrialN,practice_phase_blocks.thisN,practice_phase_blocks.thisIndex,practice_phase_cycles.thisRepN,practice_phase_cycles.thisTrialN,practice_phase_cycles.thisN,practice_phase_cycles.thisIndex,practice_phase_trials.thisRepN,practice_phase_trials.thisTrialN,practice_phase_trials.thisN,practice_phase_trials.thisIndex,final_test_trials.thisRepN,final_test_trials.thisTrialN,final_test_trials.thisN,final_test_trials.thisIndex,instr_msg.started,instr_resp.started,instr_resp.keys,instr_resp.rt,distractor_msg.started,instr_msg_2.started,instr_resp_2.started,instr_resp_2.keys,instr_resp_2.rt,cue_practice.started,target_practice.started,resp_practice.started,condition_name.started,Inupiaq_cue,current_condition,resp_practice,instr_msg_3.started,instr_resp_3.started,instr_resp_3.keys,instr_resp_3.rt,cue_final.started,resp_final.started,target_final.started,resp_final,thanks_msg.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,49.122931300000346,49.122931300000346,space,11.594282199999725,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
dust,pó,apyuq,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
cliff,penhasco,ikpik,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
boot,bota,kamik,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
thread,fio,ivalu,0,0,0,0,0,3,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
kidney,rim,taqtu,0,0,0,0,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
mark,marca,aglak,0,0,0,0,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
sled,trenó,uniat,0,0,0,0,0,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
rainbow,arco-íris,nigaq,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
tea,chá,saiyu,0,0,0,0,0,8,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
snail,lesma,uvixu,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
duck,pato,mitiq,0,0,0,0,0,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
heaven,paraíso,qixak,0,0,0,0,0,11,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
dust,pó,apyuq,1,0,1,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
cliff,penhasco,ikpik,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
boot,bota,kamik,1,0,1,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
thread,fio,ivalu,1,0,1,0,0,3,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
kidney,rim,taqtu,1,0,1,0,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
mark,marca,aglak,1,0,1,0,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
sled,trenó,uniat,1,0,1,0,0,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
rainbow,arco-íris,nigaq,1,0,1,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
tea,chá,saiyu,1,0,1,0,0,8,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
snail,lesma,uvixu,1,0,1,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
duck,pato,mitiq,1,0,1,0,0,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
heaven,paraíso,qixak,1,0,1,0,0,11,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
dust,pó,apyuq,2,0,2,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
cliff,penhasco,ikpik,2,0,2,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
boot,bota,kamik,2,0,2,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
thread,fio,ivalu,2,0,2,0,0,3,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
kidney,rim,taqtu,2,0,2,0,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
mark,marca,aglak,2,0,2,0,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
sled,trenó,uniat,2,0,2,0,0,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
rainbow,arco-íris,nigaq,2,0,2,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
tea,chá,saiyu,2,0,2,0,0,8,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
snail,lesma,uvixu,2,0,2,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
duck,pato,mitiq,2,0,2,0,0,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
heaven,paraíso,qixak,2,0,2,0,0,11,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.830826100000195,69.86750200000006,69.86750200000006,space,12.063687900000332,,,,,,,,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
tea,chá,saiyu,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,81.99715470000046,81.99715470000046,81.99715470000046,81.99715470000046,s a i y u,somente estudo,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
thread,fio,ivalu,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,83.94566860000032,83.94566860000032,83.94566860000032,83.94566860000032,_ _ _ _ _,acumulação,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
rainbow,arco-íris,nigaq,,,,,,,,,0,0,0,0,0,0,0,0,0,2,2,5,,,,,,,,,,,,,,84.82584110000062,84.82584110000062,84.82584110000062,84.82584110000062,n i g a q,somente estudo,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
