leftori,rightori,same,corrAns,angle,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr_txt_1.started,instr_key_1.started,instr_key_1.keys,instr_key_1.rt,image_L_3.started,image_R_3.started,instr_txt_2.started,instr_key_2.started,mini_pause_2.started,mini_pause_2.stopped,image_L.started,image_R.started,response.started,main_instr.started,trial_count.started,response.keys,response.corr,response.rt,mini_pause.started,mini_pause.stopped,end_txt.started,end_key.started,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,19.40719790000003,19.40719790000003,m,1.9937575999938417,,,,,,,,,,,,,,,,,,,001,ana,2022-12-31_00h59.07.521,MentalRot,2022.2.1,60.051692496399,
0,225,n,n,225,0,0,0,10,,,,,21.489319400003296,21.489319400003296,21.489319400003296,21.489319400003296,22.41776530000061,23.940662600005453,23.940662600005453,23.940662600005453,23.940662600005453,23.940662600005453,23.940662600005453,n,1,1.3960493999984465,25.367833100004646,25.875416300004872,,,001,ana,2022-12-31_00h59.07.521,MentalRot,2022.2.1,60.051692496399,
0,225,y,m,225,0,1,1,11,,,,,,,,,,,25.875416300004872,25.875416300004872,25.875416300004872,25.875416300004872,25.875416300004872,m,1,0.7246703999990132,26.617367400001967,27.12725430000137,,,001,ana,2022-12-31_00h59.07.521,MentalRot,2022.2.1,60.051692496399,
0,0,n,n,0,0,2,2,0,,,,,,,,,,,27.12725430000137,27.12725430000137,27.12725430000137,27.12725430000137,27.12725430000137,n,1,0.7059885999988182,27.850425700002233,28.359537700001965,,,001,ana,2022-12-31_00h59.07.521,MentalRot,2022.2.1,60.051692496399,
0,90,y,m,90,0,3,3,5,,,,,,,,,,,28.359537700001965,28.359537700001965,28.359537700001965,28.359537700001965,28.359537700001965,m,1,0.5928347000008216,28.98394499999995,29.493001900002128,,,001,ana,2022-12-31_00h59.07.521,MentalRot,2022.2.1,60.051692496399,
0,135,y,m,135,0,4,4,7,,,,,,,,,,,29.493001900002128,29.493001900002128,29.493001900002128,29.493001900002128,29.493001900002128,m,1,0.5402017000014894,30.0508295000036,30.560114800005977,,,001,ana,2022-12-31_00h59.07.521,MentalRot,2022.2.1,60.051692496399,
0,315,n,n,315,0,5,5,14,,,,,,,,,,,30.560114800005977,30.560114800005977,30.560114800005977,30.560114800005977,30.560114800005977,m,0,0.7058087999976124,31.283947500000068,31.791665900003863,,,001,ana,2022-12-31_00h59.07.521,MentalRot,2022.2.1,60.051692496399,
0,0,y,m,0,0,6,6,1,,,,,,,,,,,31.791665900003863,31.791665900003863,31.791665900003863,31.791665900003863,31.791665900003863,m,1,0.6576304999980493,32.467446599999676,32.97948610000458,,,001,ana,2022-12-31_00h59.07.521,MentalRot,2022.2.1,60.051692496399,
0,180,y,m,180,0,7,7,9,,,,,,,,,,,32.97948610000458,32.97948610000458,32.97948610000458,32.97948610000458,32.97948610000458,m,1,1.4446486000015284,34.45046050000383,34.96188640000037,,,001,ana,2022-12-31_00h59.07.521,MentalRot,2022.2.1,60.051692496399,
0,270,y,m,270,0,8,8,13,,,,,,,,,,,34.96188640000037,34.96188640000037,34.96188640000037,34.96188640000037,34.96188640000037,m,1,0.7042432000016561,35.68367440000293,36.19600310000533,,,001,ana,2022-12-31_00h59.07.521,MentalRot,2022.2.1,60.051692496399,
0,45,n,n,45,0,9,9,2,,,,,,,,,,,36.19600310000533,36.19600310000533,36.19600310000533,36.19600310000533,36.19600310000533,n,1,0.6286254000006011,36.84999840000091,37.35915470000327,,,001,ana,2022-12-31_00h59.07.521,MentalRot,2022.2.1,60.051692496399,
0,315,y,m,315,0,10,10,15,,,,,,,,,,,37.35915470000327,37.35915470000327,37.35915470000327,37.35915470000327,37.35915470000327,m,1,0.8741156999967643,38.250138100003824,38.7548397999999,,,001,ana,2022-12-31_00h59.07.521,MentalRot,2022.2.1,60.051692496399,
0,90,n,n,90,0,11,11,4,,,,,,,,,,,38.7548397999999,38.7548397999999,38.7548397999999,38.7548397999999,38.7548397999999,n,1,0.8453066000001854,39.61663120000594,40.12468649999937,,,001,ana,2022-12-31_00h59.07.521,MentalRot,2022.2.1,60.051692496399,
0,270,n,n,270,0,12,12,12,,,,,,,,,,,40.12468649999937,40.12468649999937,40.12468649999937,40.12468649999937,40.12468649999937,n,1,1.1318587999994634,41.28329450000456,41.790300400003616,,,001,ana,2022-12-31_00h59.07.521,MentalRot,2022.2.1,60.051692496399,
0,180,n,n,180,0,13,13,8,,,,,,,,,,,41.790300400003616,41.790300400003616,41.790300400003616,41.790300400003616,41.790300400003616,n,1,0.8177237999989302,42.63347580000118,43.14127520000329,,,001,ana,2022-12-31_00h59.07.521,MentalRot,2022.2.1,60.051692496399,
0,45,y,m,45,0,14,14,3,,,,,,,,,,,43.14127520000329,43.14127520000329,43.14127520000329,43.14127520000329,43.14127520000329,m,1,0.7245180999962031,43.88311760000215,44.388997900001414,,,001,ana,2022-12-31_00h59.07.521,MentalRot,2022.2.1,60.051692496399,
0,135,n,n,135,0,15,15,6,,,,,,,,,,,44.388997900001414,44.388997900001414,44.388997900001414,44.388997900001414,44.388997900001414,n,1,0.811752699999488,45.216473700005736,45.72408590000123,,,001,ana,2022-12-31_00h59.07.521,MentalRot,2022.2.1,60.051692496399,
0,180,y,m,180,1,0,16,9,,,,,,,,,,,45.72408590000123,45.72408590000123,45.72408590000123,45.72408590000123,45.72408590000123,m,1,0.7647167000031914,46.51626370000304,47.02133260000119,,,001,ana,2022-12-31_00h59.07.521,MentalRot,2022.2.1,60.051692496399,
0,45,n,n,45,1,1,17,2,,,,,,,,,,,47.02133260000119,47.02133260000119,47.02133260000119,47.02133260000119,47.02133260000119,n,1,0.6674872000003234,47.716696300005424,48.22452770000382,,,001,ana,2022-12-31_00h59.07.521,MentalRot,2022.2.1,60.051692496399,
0,225,n,n,225,1,2,18,10,,,,,,,,,,,48.22452770000382,48.22452770000382,48.22452770000382,48.22452770000382,48.22452770000382,n,1,0.8007261999955517,49.04972070000076,49.55752660000144,,,001,ana,2022-12-31_00h59.07.521,MentalRot,2022.2.1,60.051692496399,
0,270,n,n,270,1,3,19,12,,,,,,,,,,,49.55752660000144,49.55752660000144,49.55752660000144,49.55752660000144,49.55752660000144,n,1,0.6749880999996094,50.25010970000585,50.75623980000091,,,001,ana,2022-12-31_00h59.07.521,MentalRot,2022.2.1,60.051692496399,
0,135,y,m,135,1,4,20,7,,,,,,,,,,,50.75623980000091,50.75623980000091,50.75623980000091,50.75623980000091,50.75623980000091,m,1,0.6208910999994259,51.39954650000436,51.906155900003796,,,001,ana,2022-12-31_00h59.07.521,MentalRot,2022.2.1,60.051692496399,
0,180,n,n,180,1,5,21,8,,,,,,,,,,,51.906155900003796,51.906155900003796,51.906155900003796,51.906155900003796,51.906155900003796,n,1,1.6946240999968722,53.63268410000455,54.139488300002995,,,001,ana,2022-12-31_00h59.07.521,MentalRot,2022.2.1,60.051692496399,
0,0,y,m,0,1,6,22,1,,,,,,,,,,,54.139488300002995,54.139488300002995,54.139488300002995,54.139488300002995,54.139488300002995,m,1,0.4768645000003744,54.63254990000132,55.133154499999364,,,001,ana,2022-12-31_00h59.07.521,MentalRot,2022.2.1,60.051692496399,
0,45,y,m,45,1,7,23,3,,,,,,,,,,,55.133154499999364,55.133154499999364,55.133154499999364,55.133154499999364,55.133154499999364,m,1,0.771138999996765,55.93235590000404,56.439806000002136,,,001,ana,2022-12-31_00h59.07.521,MentalRot,2022.2.1,60.051692496399,
