leftori,rightori,same,corrAns,angle,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr_txt_1.started,instr_key_1.started,instr_key_1.keys,instr_key_1.rt,image_L_3.started,image_R_3.started,instr_txt_2.started,instr_key_2.started,mini_pause_2.started,mini_pause_2.stopped,image_L.started,image_R.started,response.started,main_instr.started,trial_count.started,response.keys,response.corr,response.rt,mini_pause.started,mini_pause.stopped,end_txt.started,end_key.started,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,18.579896299997927,18.579896299997927,m,2.7519570000076783,,,,,,,,,,,,,,,,,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
0,45,y,m,45,0,0,0,3,,,,,21.445738299997174,21.445738299997174,21.445738299997174,21.445738299997174,21.824988599997596,23.354136100002506,23.354136100002506,23.354136100002506,23.354136100002506,23.354136100002506,23.354136100002506,m,1,0.5372523999976693,23.908376600003976,24.416357599999174,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
0,270,n,n,270,0,1,1,12,,,,,,,,,,,24.416357599999174,24.416357599999174,24.416357599999174,24.416357599999174,24.416357599999174,n,1,0.5949020999978529,25.041818899997452,25.549122800002806,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
0,315,n,n,315,0,2,2,14,,,,,,,,,,,25.549122800002806,25.549122800002806,25.549122800002806,25.549122800002806,25.549122800002806,n,1,0.8707219999996596,26.44165310000244,26.944100400003663,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
0,90,y,m,90,0,3,3,5,,,,,,,,,,,26.944100400003663,26.944100400003663,26.944100400003663,26.944100400003663,26.944100400003663,m,1,0.5639634000035585,27.52451850000216,28.030470500001684,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
0,0,n,n,0,0,4,4,0,,,,,,,,,,,28.030470500001684,28.030470500001684,28.030470500001684,28.030470500001684,28.030470500001684,n,1,0.5337303999986034,28.591635299999325,29.09616520000418,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
0,315,y,m,315,0,5,5,15,,,,,,,,,,,29.09616520000418,29.09616520000418,29.09616520000418,29.09616520000418,29.09616520000418,m,1,0.5149674999993294,29.641340000001946,30.14813460000005,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
0,45,n,n,45,0,6,6,2,,,,,,,,,,,30.14813460000005,30.14813460000005,30.14813460000005,30.14813460000005,30.14813460000005,n,1,0.5603554999979679,30.724619799999346,31.232469800001127,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
0,90,n,n,90,0,7,7,4,,,,,,,,,,,31.232469800001127,31.232469800001127,31.232469800001127,31.232469800001127,31.232469800001127,n,1,0.7154032000034931,31.97454270000162,32.4903964000041,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
0,225,y,m,225,0,8,8,11,,,,,,,,,,,32.4903964000041,32.4903964000041,32.4903964000041,32.4903964000041,32.4903964000041,m,1,0.6499657000022125,33.15799100000004,33.666523400002916,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
