leftori,rightori,same,corrAns,angle,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr_txt_1.started,instr_key_1.started,instr_key_1.keys,instr_key_1.rt,image_L_3.started,image_R_3.started,instr_txt_2.started,instr_key_2.started,mini_pause_2.started,mini_pause_2.stopped,image_L.started,image_R.started,response.started,main_instr.started,trial_count.started,response.keys,response.corr,response.rt,mini_pause.started,mini_pause.stopped,end_txt.started,end_key.started,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,273.5961299000046,273.5961299000046,m,1.6744983999960823,,,,,,,,,,,,,,,,,,,001,fabi,2022-12-31_01h35.07.697,MentalRot,2022.2.1,60.042822541204046,
0,90,n,n,90,0,0,0,4,,,,,275.35985270000674,275.35985270000674,275.35985270000674,275.35985270000674,277.6104706000042,279.129797900001,279.129797900001,279.129797900001,279.129797900001,279.129797900001,279.129797900001,n,1,1.2131741999983205,280.36033670000324,280.86654830000043,,,001,fabi,2022-12-31_01h35.07.697,MentalRot,2022.2.1,60.042822541204046,
0,0,n,n,0,0,1,1,0,,,,,,,,,,,280.86654830000043,280.86654830000043,280.86654830000043,280.86654830000043,280.86654830000043,n,1,0.6604501999972854,281.543731800004,282.0515025000059,,,001,fabi,2022-12-31_01h35.07.697,MentalRot,2022.2.1,60.042822541204046,
0,90,y,m,90,0,2,2,5,,,,,,,,,,,282.0515025000059,282.0515025000059,282.0515025000059,282.0515025000059,282.0515025000059,m,1,0.5305724999998347,282.61068520000117,283.1170371000044,,,001,fabi,2022-12-31_01h35.07.697,MentalRot,2022.2.1,60.042822541204046,
0,225,n,n,225,0,3,3,10,,,,,,,,,,,283.1170371000044,283.1170371000044,283.1170371000044,283.1170371000044,283.1170371000044,n,1,0.8010214999958407,283.943405900005,284.4568881000014,,,001,fabi,2022-12-31_01h35.07.697,MentalRot,2022.2.1,60.042822541204046,
0,180,n,n,180,0,4,4,8,,,,,,,,,,,284.4568881000014,284.4568881000014,284.4568881000014,284.4568881000014,284.4568881000014,n,1,0.7669335999962641,285.243721800005,285.75057740000193,,,001,fabi,2022-12-31_01h35.07.697,MentalRot,2022.2.1,60.042822541204046,
0,270,y,m,270,0,5,5,13,,,,,,,,,,,285.75057740000193,285.75057740000193,285.75057740000193,285.75057740000193,285.75057740000193,m,1,0.5842019999981858,286.36039500000334,286.86864700000297,,,001,fabi,2022-12-31_01h35.07.697,MentalRot,2022.2.1,60.042822541204046,
0,45,y,m,45,0,6,6,3,,,,,,,,,,,286.86864700000297,286.86864700000297,286.86864700000297,286.86864700000297,286.86864700000297,m,1,0.5211734000040451,287.41029070000513,287.9202284000057,,,001,fabi,2022-12-31_01h35.07.697,MentalRot,2022.2.1,60.042822541204046,
0,0,y,m,0,0,7,7,1,,,,,,,,,,,287.9202284000057,287.9202284000057,287.9202284000057,287.9202284000057,287.9202284000057,m,1,0.5102273000011337,288.4603167000023,288.96960240000044,,,001,fabi,2022-12-31_01h35.07.697,MentalRot,2022.2.1,60.042822541204046,
0,180,y,m,180,0,8,8,9,,,,,,,,,,,288.96960240000044,288.96960240000044,288.96960240000044,288.96960240000044,288.96960240000044,m,1,0.8057923000014853,289.7934389000002,290.2994338000062,,,001,fabi,2022-12-31_01h35.07.697,MentalRot,2022.2.1,60.042822541204046,
0,135,y,m,135,0,9,9,7,,,,,,,,,,,290.2994338000062,290.2994338000062,290.2994338000062,290.2994338000062,290.2994338000062,m,1,0.5864736000003177,290.91032200000336,291.4167832000021,,,001,fabi,2022-12-31_01h35.07.697,MentalRot,2022.2.1,60.042822541204046,
0,315,n,n,315,0,10,10,14,,,,,,,,,,,291.4167832000021,291.4167832000021,291.4167832000021,291.4167832000021,291.4167832000021,n,1,0.5742057000024943,292.01021700000274,292.51756320000277,,,001,fabi,2022-12-31_01h35.07.697,MentalRot,2022.2.1,60.042822541204046,
0,225,y,m,225,0,11,11,11,,,,,,,,,,,292.51756320000277,292.51756320000277,292.51756320000277,292.51756320000277,292.51756320000277,n,0,0.6414800999991712,293.1766155000005,293.682112100003,,,001,fabi,2022-12-31_01h35.07.697,MentalRot,2022.2.1,60.042822541204046,
0,135,n,n,135,0,12,12,6,,,,,,,,,,,293.682112100003,293.682112100003,293.682112100003,293.682112100003,293.682112100003,n,1,0.7481176999935997,294.45992140000453,294.97628950000217,,,001,fabi,2022-12-31_01h35.07.697,MentalRot,2022.2.1,60.042822541204046,
0,270,n,n,270,0,13,13,12,,,,,,,,,,,294.97628950000217,294.97628950000217,294.97628950000217,294.97628950000217,294.97628950000217,n,1,0.6538568000032683,295.6598384000026,296.1645506000059,,,001,fabi,2022-12-31_01h35.07.697,MentalRot,2022.2.1,60.042822541204046,
0,45,n,n,45,0,14,14,2,,,,,,,,,,,296.1645506000059,296.1645506000059,296.1645506000059,296.1645506000059,296.1645506000059,n,1,0.6258159999997588,296.80974490000517,297.3160874000023,,,001,fabi,2022-12-31_01h35.07.697,MentalRot,2022.2.1,60.042822541204046,
0,315,y,m,315,0,15,15,15,,,,,,,,,,,297.3160874000023,297.3160874000023,297.3160874000023,297.3160874000023,297.3160874000023,m,1,0.5858168999984628,297.9263898000063,298.43020100000285,,,001,fabi,2022-12-31_01h35.07.697,MentalRot,2022.2.1,60.042822541204046,
0,180,y,m,180,1,0,16,9,,,,,,,,,,,298.43020100000285,298.43020100000285,298.43020100000285,298.43020100000285,298.43020100000285,m,1,0.6478237000046647,299.10966730000655,299.6159415000002,,,001,fabi,2022-12-31_01h35.07.697,MentalRot,2022.2.1,60.042822541204046,
0,90,y,m,90,1,1,17,5,,,,,,,,,,,299.6159415000002,299.6159415000002,299.6159415000002,299.6159415000002,299.6159415000002,m,1,0.5182148999956553,300.1598202000023,300.6665256000051,,,001,fabi,2022-12-31_01h35.07.697,MentalRot,2022.2.1,60.042822541204046,
0,0,y,m,0,1,2,18,1,,,,,,,,,,,300.6665256000051,300.6665256000051,300.6665256000051,300.6665256000051,300.6665256000051,m,1,0.580207099999825,301.276102900003,301.7815805000064,,,001,fabi,2022-12-31_01h35.07.697,MentalRot,2022.2.1,60.042822541204046,
0,45,n,n,45,1,3,19,2,,,,,,,,,,,301.7815805000064,301.7815805000064,301.7815805000064,301.7815805000064,301.7815805000064,n,1,0.6483685999992304,302.45957620000263,302.96525450000627,,,001,fabi,2022-12-31_01h35.07.697,MentalRot,2022.2.1,60.042822541204046,
0,90,n,n,90,1,4,20,4,,,,,,,,,,,302.96525450000627,302.96525450000627,302.96525450000627,302.96525450000627,302.96525450000627,n,1,0.6892119999974966,303.67617299999984,304.18170620000456,,,001,fabi,2022-12-31_01h35.07.697,MentalRot,2022.2.1,60.042822541204046,
0,270,n,n,270,1,5,21,12,,,,,,,,,,,304.18170620000456,304.18170620000456,304.18170620000456,304.18170620000456,304.18170620000456,n,1,0.7612556000021868,304.95940240000346,305.4664477000042,,,001,fabi,2022-12-31_01h35.07.697,MentalRot,2022.2.1,60.042822541204046,
0,135,y,m,135,1,6,22,7,,,,,,,,,,,305.4664477000042,305.4664477000042,305.4664477000042,305.4664477000042,305.4664477000042,m,1,0.667903399997158,306.15964660000463,306.66813540000294,,,001,fabi,2022-12-31_01h35.07.697,MentalRot,2022.2.1,60.042822541204046,
