leftori,rightori,same,corrAns,angle,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr_txt_1.started,instr_key_1.started,instr_key_1.keys,instr_key_1.rt,image_L_3.started,image_R_3.started,instr_txt_2.started,instr_key_2.started,mini_pause_2.started,mini_pause_2.stopped,image_L.started,image_R.started,response.started,main_instr.started,trial_count.started,response.keys,response.corr,response.rt,mini_pause.started,mini_pause.stopped,end_txt.started,end_key.started,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,17.5752324999994,17.5752324999994,m,0.8367494999984046,,,,,,,,,,,,,,,,,,,001,iago,2022-12-31_01h49.39.183,MentalRot,2022.2.1,59.82986778973487,
0,225,y,m,225,0,0,0,11,,,,,18.518917399997008,18.518917399997008,18.518917399997008,18.518917399997008,19.292274799998268,20.834615399995528,20.834615399995528,20.834615399995528,20.834615399995528,20.834615399995528,20.834615399995528,m,1,0.9129855999999563,21.775232899999537,22.2800758999947,,,001,iago,2022-12-31_01h49.39.183,MentalRot,2022.2.1,59.82986778973487,
0,45,y,m,45,0,1,1,3,,,,,,,,,,,22.2800758999947,22.2800758999947,22.2800758999947,22.2800758999947,22.2800758999947,m,1,0.7718298000036157,23.075248999994074,23.580212799999572,,,001,iago,2022-12-31_01h49.39.183,MentalRot,2022.2.1,59.82986778973487,
0,45,n,n,45,0,2,2,2,,,,,,,,,,,23.580212799999572,23.580212799999572,23.580212799999572,23.580212799999572,23.580212799999572,n,1,0.5848055999958888,24.191651399996772,24.692717099998845,,,001,iago,2022-12-31_01h49.39.183,MentalRot,2022.2.1,59.82986778973487,
0,270,n,n,270,0,3,3,12,,,,,,,,,,,24.692717099998845,24.692717099998845,24.692717099998845,24.692717099998845,24.692717099998845,n,1,0.6633683999971254,25.37532829999691,25.882141299996874,,,001,iago,2022-12-31_01h49.39.183,MentalRot,2022.2.1,59.82986778973487,
0,90,y,m,90,0,4,4,5,,,,,,,,,,,25.882141299996874,25.882141299996874,25.882141299996874,25.882141299996874,25.882141299996874,m,1,0.6261826999980258,26.52499209999951,27.03105709999363,,,001,iago,2022-12-31_01h49.39.183,MentalRot,2022.2.1,59.82986778973487,
0,90,n,n,90,0,5,5,4,,,,,,,,,,,27.03105709999363,27.03105709999363,27.03105709999363,27.03105709999363,27.03105709999363,n,1,0.6844397000022582,27.741771899993182,28.24909099999786,,,001,iago,2022-12-31_01h49.39.183,MentalRot,2022.2.1,59.82986778973487,
0,0,y,m,0,0,6,6,1,,,,,,,,,,,28.24909099999786,28.24909099999786,28.24909099999786,28.24909099999786,28.24909099999786,m,1,0.5225655999965966,28.79185719999805,29.299778199994762,,,001,iago,2022-12-31_01h49.39.183,MentalRot,2022.2.1,59.82986778973487,
0,270,y,m,270,0,7,7,13,,,,,,,,,,,29.299778199994762,29.299778199994762,29.299778199994762,29.299778199994762,29.299778199994762,m,1,0.552746000001207,29.875063099992985,30.383015699997486,,,001,iago,2022-12-31_01h49.39.183,MentalRot,2022.2.1,59.82986778973487,
0,135,n,n,135,0,8,8,6,,,,,,,,,,,30.383015699997486,30.383015699997486,30.383015699997486,30.383015699997486,30.383015699997486,n,1,0.700881800003117,31.108106699997734,31.6086765,,,001,iago,2022-12-31_01h49.39.183,MentalRot,2022.2.1,59.82986778973487,
0,315,y,m,315,0,9,9,15,,,,,,,,,,,31.6086765,31.6086765,31.6086765,31.6086765,31.6086765,m,1,0.46751840000069933,32.10814140000002,32.61386379999749,,,001,iago,2022-12-31_01h49.39.183,MentalRot,2022.2.1,59.82986778973487,
0,315,n,n,315,0,10,10,14,,,,,,,,,,,32.61386379999749,32.61386379999749,32.61386379999749,32.61386379999749,32.61386379999749,n,1,0.6072596999947564,33.241703899999266,33.74882179999986,,,001,iago,2022-12-31_01h49.39.183,MentalRot,2022.2.1,59.82986778973487,
0,180,n,n,180,0,11,11,8,,,,,,,,,,,33.74882179999986,33.74882179999986,33.74882179999986,33.74882179999986,33.74882179999986,n,1,0.7116392999960226,34.491330999997444,34.99791549999645,,,001,iago,2022-12-31_01h49.39.183,MentalRot,2022.2.1,59.82986778973487,
0,0,n,n,0,0,12,12,0,,,,,,,,,,,34.99791549999645,34.99791549999645,34.99791549999645,34.99791549999645,34.99791549999645,n,1,0.5822945999971125,35.608071999995445,36.11436149999645,,,001,iago,2022-12-31_01h49.39.183,MentalRot,2022.2.1,59.82986778973487,
0,225,n,n,225,0,13,13,10,,,,,,,,,,,36.11436149999645,36.11436149999645,36.11436149999645,36.11436149999645,36.11436149999645,n,1,0.6578174000023864,36.791650899998785,37.29755679999653,,,001,iago,2022-12-31_01h49.39.183,MentalRot,2022.2.1,59.82986778973487,
0,135,y,m,135,0,14,14,7,,,,,,,,,,,37.29755679999653,37.29755679999653,37.29755679999653,37.29755679999653,37.29755679999653,m,1,0.5791052999993553,37.90817859999515,38.41513579999446,,,001,iago,2022-12-31_01h49.39.183,MentalRot,2022.2.1,59.82986778973487,
0,180,y,m,180,0,15,15,9,,,,,,,,,,,38.41513579999446,38.41513579999446,38.41513579999446,38.41513579999446,38.41513579999446,m,1,0.6842891999986023,39.12456949999614,39.63033589999395,,,001,iago,2022-12-31_01h49.39.183,MentalRot,2022.2.1,59.82986778973487,
