English,Portuguese,instructions.thisRepN,instructions.thisTrialN,instructions.thisN,instructions.thisIndex,cycle.thisRepN,cycle.thisTrialN,cycle.thisN,cycle.thisIndex,study_period.thisRepN,study_period.thisTrialN,study_period.thisN,study_period.thisIndex,distractor_period.thisRepN,distractor_period.thisTrialN,distractor_period.thisN,distractor_period.thisIndex,test_period.thisRepN,test_period.thisTrialN,test_period.thisN,test_period.thisIndex,instruction_text.started,instruction_image.started,back_button.started,next_button.started,back_button.numClicks,back_button.timesOn,back_button.timesOff,next_button.numClicks,next_button.timesOn,next_button.timesOff,cue_study.started,target_study.started,debug1.started,math_prompt.started,math_problem.started,math_resp.started,math_line.started,factor1,factor2,product,distractor_response,teclas_pressionadas,teclas_pressionadas_tempo,distractor_resp_corr,prompt_msg.started,prompt_resp.started,cue_test.started,target_test.started,resp.started,practice_line.started,cue_test.stopped,target_test.stopped,resp.stopped,practice_line.stopped,response,response_corr,resp.keys,resp.corr,resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
beer,cerveja,,,,,0,0,0,0,0,0,0,4,,,,,,,,,17.627112199988915,17.627112199988915,17.627112199988915,17.627112199988915,1,[1.0792319000174757],[0.04313070001080632],5,"[0.30759919999400154, 0.12904100000741892, 0.14416660001734272, 0.11283459997503087, 0.10066399999777786]","[0.024694499996257946, 0.04282910001347773, 0.026480100001208484, 0.033342900016577914, 0.1006696000113152]",17.784077999996953,17.784077999996953,,,,,,,,,,,,,,,,,,,,,,,,,,,,276015,001,2023-01-22_11h23.57.997,aula_046a,2022.2.1,None,
knee,joelho,,,,,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,18.2549025999906,18.2549025999906,,,,,,,,,,,,,,,,,,,,,,,,,,,,276015,001,2023-01-22_11h23.57.997,aula_046a,2022.2.1,None,
dog,cachorro,,,,,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,18.759764099988388,18.759764099988388,,,,,,,,,,,,,,,,,,,,,,,,,,,,276015,001,2023-01-22_11h23.57.997,aula_046a,2022.2.1,None,
broom,vassoura,,,,,0,0,0,0,0,3,3,5,,,,,,,,,,,,,,,,,,,19.27466969998204,19.27466969998204,,,,,,,,,,,,,,,,,,,,,,,,,,,,276015,001,2023-01-22_11h23.57.997,aula_046a,2022.2.1,None,
food,comida,,,,,0,0,0,0,0,4,4,9,,,,,,,,,,,,,,,,,,,19.75805639999453,19.75805639999453,,,,,,,,,,,,,,,,,,,,,,,,,,,,276015,001,2023-01-22_11h23.57.997,aula_046a,2022.2.1,None,
bucket,balde,,,,,0,0,0,0,0,5,5,6,,,,,,,,,,,,,,,,,,,20.25491739998688,20.25491739998688,,,,,,,,,,,,,,,,,,,,,,,,,,,,276015,001,2023-01-22_11h23.57.997,aula_046a,2022.2.1,None,
cloud,nuvem,,,,,0,0,0,0,0,6,6,1,,,,,,,,,,,,,,,,,,,20.758104999986244,20.758104999986244,,,,,,,,,,,,,,,,,,,,,,,,,,,,276015,001,2023-01-22_11h23.57.997,aula_046a,2022.2.1,None,
poison,veneno,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,21.255050999985542,21.255050999985542,,,,,,,,,,,,,,,,,,,,,,,,,,,,276015,001,2023-01-22_11h23.57.997,aula_046a,2022.2.1,None,
soul,alma,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,21.758182599995052,21.758182599995052,,,,,,,,,,,,,,,,,,,,,,,,,,,,276015,001,2023-01-22_11h23.57.997,aula_046a,2022.2.1,None,
egg,ovo,,,,,0,0,0,0,0,9,9,3,,,,,,,,,,,,,,,,,,,22.25486339998315,22.25486339998315,,,,,,,,,,,,,,,,,,,,,,,,,,,,276015,001,2023-01-22_11h23.57.997,aula_046a,2022.2.1,None,
