English,Portuguese,instructions.thisRepN,instructions.thisTrialN,instructions.thisN,instructions.thisIndex,cycle.thisRepN,cycle.thisTrialN,cycle.thisN,cycle.thisIndex,study_period.thisRepN,study_period.thisTrialN,study_period.thisN,study_period.thisIndex,distractor_period.thisRepN,distractor_period.thisTrialN,distractor_period.thisN,distractor_period.thisIndex,instruction_text.started,instruction_image.started,back_button.started,next_button.started,back_button.numClicks,back_button.timesOn,back_button.timesOff,next_button.numClicks,next_button.timesOn,next_button.timesOff,cue_study.started,target_study.started,participant,session,date,expName,psychopyVersion,frameRate,
bucket,balde,,,,,0,0,0,0,0,0,0,6,,,,,19.55190289998427,19.55190289998427,19.55190289998427,19.55190289998427,0,,,5,"[1.8198973999824375, 0.1475114999921061, 0.13405170000623912, 0.12570110001252033, 0.5403530000185128]","[0.027662000007694587, 0.031721800012746826, 0.0002001000102609396, 0.00023189999046735466, 0.5403564000152983]",20.145337399997516,20.145337399997516,885278,001,2023-01-22_11h22.09.590,aula_046a,2022.2.1,60.36795475200542,
egg,ovo,,,,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,20.616926899994723,20.616926899994723,885278,001,2023-01-22_11h22.09.590,aula_046a,2022.2.1,60.36795475200542,
dog,cachorro,,,,,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,21.117572499992093,21.117572499992093,885278,001,2023-01-22_11h22.09.590,aula_046a,2022.2.1,60.36795475200542,
broom,vassoura,,,,,0,0,0,0,0,3,3,5,,,,,,,,,,,,,,,21.61702979999245,21.61702979999245,885278,001,2023-01-22_11h22.09.590,aula_046a,2022.2.1,60.36795475200542,
cloud,nuvem,,,,,0,0,0,0,0,4,4,1,,,,,,,,,,,,,,,22.11700529998052,22.11700529998052,885278,001,2023-01-22_11h22.09.590,aula_046a,2022.2.1,60.36795475200542,
food,comida,,,,,0,0,0,0,0,5,5,9,,,,,,,,,,,,,,,22.615277999982936,22.615277999982936,885278,001,2023-01-22_11h22.09.590,aula_046a,2022.2.1,60.36795475200542,
beer,cerveja,,,,,0,0,0,0,0,6,6,4,,,,,,,,,,,,,,,23.115980400005355,23.115980400005355,885278,001,2023-01-22_11h22.09.590,aula_046a,2022.2.1,60.36795475200542,
knee,joelho,,,,,0,0,0,0,0,7,7,2,,,,,,,,,,,,,,,23.59872149999137,23.59872149999137,885278,001,2023-01-22_11h22.09.590,aula_046a,2022.2.1,60.36795475200542,
soul,alma,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,24.09870370000135,24.09870370000135,885278,001,2023-01-22_11h22.09.590,aula_046a,2022.2.1,60.36795475200542,
poison,veneno,,,,,0,0,0,0,0,9,9,7,,,,,,,,,,,,,,,24.59848570000031,24.59848570000031,885278,001,2023-01-22_11h22.09.590,aula_046a,2022.2.1,60.36795475200542,
