English,Portuguese,instructions.thisRepN,instructions.thisTrialN,instructions.thisN,instructions.thisIndex,cycle.thisRepN,cycle.thisTrialN,cycle.thisN,cycle.thisIndex,study_period.thisRepN,study_period.thisTrialN,study_period.thisN,study_period.thisIndex,distractor_period.thisRepN,distractor_period.thisTrialN,distractor_period.thisN,distractor_period.thisIndex,test_period.thisRepN,test_period.thisTrialN,test_period.thisN,test_period.thisIndex,instruction_text.started,instruction_image.started,back_button.started,next_button.started,back_button.numClicks,back_button.timesOn,back_button.timesOff,next_button.numClicks,next_button.timesOn,next_button.timesOff,cue_study.started,target_study.started,debug1.started,math_prompt.started,math_problem.started,math_resp.started,math_line.started,factor1,factor2,product,distractor_response,teclas_pressionadas,teclas_pressionadas_tempo,distractor_resp_corr,prompt_msg.started,prompt_resp.started,cue_test.started,target_test.started,target_test.text,participant,session,date,expName,psychopyVersion,frameRate,
poison,veneno,,,,,0,0,0,0,0,0,0,7,,,,,,,,,17.99762660000124,17.99762660000124,17.99762660000124,17.99762660000124,0,,,5,"[1.9164517000026535, 0.09429149999050424, 0.1244349000044167, 0.12455519998911768, 0.07093210000311956]","[0.00018740000086836517, 0.01898689998779446, 0.0001947999990079552, 0.12455969999427907, 0.0709373000136111]",18.12006270000711,18.12006270000711,,,,,,,,,,,,,,,,,,934359,001,2023-01-22_11h28.56.893,aula_046a,2022.2.1,None,
bucket,balde,,,,,0,0,0,0,0,1,1,6,,,,,,,,,,,,,,,,,,,18.294787499995437,18.294787499995437,,,,,,,,,,,,,,,,,,934359,001,2023-01-22_11h28.56.893,aula_046a,2022.2.1,None,
broom,vassoura,,,,,0,0,0,0,0,2,2,5,,,,,,,,,,,,,,,,,,,18.49537049999344,18.49537049999344,,,,,,,,,,,,,,,,,,934359,001,2023-01-22_11h28.56.893,aula_046a,2022.2.1,None,
dog,cachorro,,,,,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,,,18.688636400009273,18.688636400009273,,,,,,,,,,,,,,,,,,934359,001,2023-01-22_11h28.56.893,aula_046a,2022.2.1,None,
cloud,nuvem,,,,,0,0,0,0,0,4,4,1,,,,,,,,,,,,,,,,,,,18.890128900005948,18.890128900005948,,,,,,,,,,,,,,,,,,934359,001,2023-01-22_11h28.56.893,aula_046a,2022.2.1,None,
knee,joelho,,,,,0,0,0,0,0,5,5,2,,,,,,,,,,,,,,,,,,,19.0957483999955,19.0957483999955,,,,,,,,,,,,,,,,,,934359,001,2023-01-22_11h28.56.893,aula_046a,2022.2.1,None,
food,comida,,,,,0,0,0,0,0,6,6,9,,,,,,,,,,,,,,,,,,,19.295207599992864,19.295207599992864,,,,,,,,,,,,,,,,,,934359,001,2023-01-22_11h28.56.893,aula_046a,2022.2.1,None,
egg,ovo,,,,,0,0,0,0,0,7,7,3,,,,,,,,,,,,,,,,,,,19.476262000011047,19.476262000011047,,,,,,,,,,,,,,,,,,934359,001,2023-01-22_11h28.56.893,aula_046a,2022.2.1,None,
soul,alma,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,19.688611399993533,19.688611399993533,,,,,,,,,,,,,,,,,,934359,001,2023-01-22_11h28.56.893,aula_046a,2022.2.1,None,
beer,cerveja,,,,,0,0,0,0,0,9,9,4,,,,,,,,,,,,,,,,,,,19.875865800015163,19.875865800015163,,,,,,,,,,,,,,,,,,934359,001,2023-01-22_11h28.56.893,aula_046a,2022.2.1,None,
,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,20.107745699991938,20.107745699991938,20.56261789999553,20.56261789999553,20.56261789999553,2,20,40,,[],[],0,,,,,,934359,001,2023-01-22_11h28.56.893,aula_046a,2022.2.1,None,
cloud,nuvem,,,,,0,0,0,0,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,25.094165699993027,25.094165699993027,26.44160489999922,26.44160489999922," nuvem




",934359,001,2023-01-22_11h28.56.893,aula_046a,2022.2.1,None,
broom,vassoura,,,,,0,0,0,0,,,,,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,33.42690449999645,33.42690449999645,"vassoura












",934359,001,2023-01-22_11h28.56.893,aula_046a,2022.2.1,None,
soul,alma,,,,,0,0,0,0,,,,,,,,,0,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,40.42655350000132,40.42655350000132,"alma
",934359,001,2023-01-22_11h28.56.893,aula_046a,2022.2.1,None,
food,comida,,,,,0,0,0,0,,,,,,,,,0,3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,47.42518140000175,47.42518140000175,"comida comidao comida comida comdia, ;?",934359,001,2023-01-22_11h28.56.893,aula_046a,2022.2.1,None,
dog,cachorro,,,,,0,0,0,0,,,,,,,,,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,54.42591779999202,54.42591779999202,/ww11231234567488,934359,001,2023-01-22_11h28.56.893,aula_046a,2022.2.1,None,
poison,veneno,,,,,0,0,0,0,,,,,,,,,0,5,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,61.41917119998834,61.41917119998834,"num_1, num_2",934359,001,2023-01-22_11h28.56.893,aula_046a,2022.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.4197761999967,68.4197761999967,,,,,,,,
