2.4535 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
10.6614 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

10.6617 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000024EF91144C0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000024EA2A31C10>, multiSample=False, name='window1', numSamples=2, pos=(233, 84), screen=0, size=array([900, 600]), stencilBits=0, stereo=False, units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.6618 	EXP 	window1: mouseVisible = True
10.6618 	EXP 	window1: mouseVisible = True
10.6618 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
10.6619 	EXP 	window1: recordFrameIntervals = False
10.8289 	EXP 	window1: recordFrameIntervals = True
10.9630 	WARNING 	t of last frame was 20.41ms (=1/48)
11.0974 	WARNING 	t of last frame was 21.56ms (=1/46)
11.1296 	WARNING 	t of last frame was 20.07ms (=1/49)
11.2965 	WARNING 	t of last frame was 20.57ms (=1/48)
11.4626 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
12.4948 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

12.5601 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
15.2280 	EXP 	Created instruction_text = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='instruction_text', opacity=1.0, ori=0.0, pos=array([0. , 0.4]), size=array([2. , 1.4]), texRes=128, units='norm', win=Window(...))
15.2327 	EXP 	Created instruction_image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='instruction_image', opacity=1.0, ori=0.0, pos=array([-0.35, -0.6 ]), size=array([0.75, 0.65]), texRes=128, units='norm', win=Window(...))
15.2915 	EXP 	window1: mouseVisible = True
15.3348 	EXP 	window1: mouseVisible = True
15.3664 	EXP 	Created cue_study = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Times New Roman', fontFiles=[], height=0.2, italic=False, languageStyle='LTR', name='cue_study', opacity=1.0, ori=0.0, pos=array([0. , 0.2]), rgb=UNKNOWN, text='', units='norm', win=Window(...), wrapWidth=1)
15.3676 	EXP 	Created target_study = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Times New Roman', fontFiles=[], height=0.2, italic=False, languageStyle='LTR', name='target_study', opacity=1.0, ori=0.0, pos=array([ 0. , -0.2]), rgb=UNKNOWN, text='', units='norm', win=Window(...), wrapWidth=1)
15.3688 	EXP 	Created math_problem = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Times New Roman', fontFiles=[], height=0.2, italic=False, languageStyle='LTR', name='math_problem', opacity=1.0, ori=0, pos=array([0.  , 0.15]), rgb=UNKNOWN, text='', units='norm', win=Window(...), wrapWidth=1.8)
15.3700 	EXP 	Created math_resp = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Times New Roman', fontFiles=[], height=0.2, italic=False, languageStyle='LTR', name='math_resp', opacity=1.0, ori=0.0, pos=array([ 0.  , -0.15]), rgb=UNKNOWN, text='', units='norm', win=Window(...), wrapWidth=1.8)
15.3721 	EXP 	Created math_line = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-3.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1, name='math_line', opacity=1.0, ori=0.0, pos=array([ 0.  , -0.25]), size=array([0.3 , 0.01]), units='norm', vertices=ndarray(...), win=Window(...))
15.3750 	EXP 	Created debug1 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Times New Roman', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='debug1', opacity=1.0, ori=0.0, pos=array([ 0. , -0.8]), rgb=UNKNOWN, text='', units='norm', win=Window(...), wrapWidth=1)
15.4488 	EXP 	Created math_prompt = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([ 1.        ,  0.29411765, -1.        ]), colorSpace='rgb', contrast=1.0, depth=-5.0, flipHoriz=False, flipVert=False, font='Times New Roman', fontFiles=[], height=0.12, italic=False, languageStyle='LTR', name='math_prompt', opacity=1.0, ori=0.0, pos=array([0. , 0.7]), rgb=UNKNOWN, text='Digite sua resposta e tecle [ENTER].', units='norm', win=Window(...), wrapWidth=1.8)
15.4810 	EXP 	Created prompt_msg = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Times New Roman', fontFiles=[], height=0.15, italic=False, languageStyle='LTR', name='prompt_msg', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='norm', win=Window(...), wrapWidth=1)
15.4822 	EXP 	Created cue_test = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Times New Roman', fontFiles=[], height=0.2, italic=False, languageStyle='LTR', name='cue_test', opacity=1.0, ori=0, pos=array([0. , 0.2]), rgb=UNKNOWN, text='', units='norm', win=Window(...), wrapWidth=1.8)
15.5271 	EXP 	Created thanks_msg = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Times New Roman', fontFiles=[], height=0.12, italic=False, languageStyle='LTR', name='thanks_msg', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='norm', win=Window(...), wrapWidth=1)
15.5275 	EXP 	Created sequence: sequential, trialTypes=1, nReps=999, seed=None
15.5307 	EXP 	New trial (rep=0, index=0): None
15.6090 	EXP 	target_test: autoLog = True
15.6090 	EXP 	instruction_text: image = 'instrucao_11.jpg'
15.6090 	EXP 	instruction_image: texRes = 128
15.6090 	EXP 	instruction_image: image = 'imagem_11.jpg'
15.6090 	EXP 	instruction_text: autoDraw = True
15.6090 	EXP 	instruction_image: autoDraw = True
17.4625 	DATA 	Mouse: Left button down, pos=(773,51)
17.4815 	EXP 	New trial (rep=1, index=0): None
17.5292 	EXP 	instruction_text: autoDraw = False
17.5292 	EXP 	instruction_image: autoDraw = False
17.5292 	EXP 	instruction_text: image = 'instrucao_12.jpg'
17.5292 	EXP 	instruction_image: texRes = 128
17.5292 	EXP 	instruction_image: image = 'imagem_12.jpg'
17.5292 	EXP 	instruction_text: autoDraw = True
17.5292 	EXP 	instruction_image: autoDraw = True
17.5301 	DATA 	Mouse:  Left button up, pos=(773,51)
17.5970 	DATA 	Mouse: Left button down, pos=(773,51)
17.6185 	EXP 	New trial (rep=2, index=0): None
17.6575 	EXP 	instruction_text: autoDraw = False
17.6575 	EXP 	instruction_image: autoDraw = False
17.6575 	EXP 	instruction_text: image = 'instrucao_13.jpg'
17.6575 	EXP 	instruction_image: texRes = 128
17.6575 	EXP 	instruction_image: image = 'imagem_13.jpg'
17.6575 	EXP 	instruction_text: autoDraw = True
17.6575 	EXP 	instruction_image: autoDraw = True
17.6766 	DATA 	Mouse:  Left button up, pos=(773,51)
17.7633 	DATA 	Mouse: Left button down, pos=(773,51)
17.7860 	EXP 	New trial (rep=3, index=0): None
17.8295 	EXP 	instruction_text: autoDraw = False
17.8295 	EXP 	instruction_image: autoDraw = False
17.8295 	EXP 	instruction_text: image = 'instrucao_14.jpg'
17.8295 	EXP 	instruction_image: texRes = 128
17.8295 	EXP 	instruction_image: image = 'imagem_14.jpg'
17.8295 	EXP 	instruction_text: autoDraw = True
17.8295 	EXP 	instruction_image: autoDraw = True
17.8300 	DATA 	Mouse:  Left button up, pos=(773,51)
17.9302 	DATA 	Mouse: Left button down, pos=(773,51)
17.9522 	EXP 	New trial (rep=4, index=0): None
17.9732 	DATA 	Mouse:  Left button up, pos=(773,51)
17.9976 	EXP 	instruction_text: autoDraw = False
17.9976 	EXP 	instruction_image: autoDraw = False
17.9976 	EXP 	instruction_text: image = 'instrucao_15.jpg'
17.9976 	EXP 	instruction_image: texRes = 128
17.9976 	EXP 	instruction_image: image = 'imagem_15.jpg'
17.9976 	EXP 	instruction_text: autoDraw = True
17.9976 	EXP 	instruction_image: autoDraw = True
18.0438 	DATA 	Mouse: Left button down, pos=(773,51)
18.0552 	EXP 	Created sequence: random, trialTypes=1, nReps=4, seed=None
18.0556 	EXP 	New trial (rep=0, index=0): None
18.0644 	EXP 	Imported cycle_1.csv as conditions, 10 conditions, 2 params
18.0651 	EXP 	Created sequence: random, trialTypes=10, nReps=1, seed=None
18.0655 	EXP 	New trial (rep=0, index=0): OrderedDict([('English', 'poison'), ('Portuguese', 'veneno')])
18.1201 	EXP 	instruction_text: autoDraw = False
18.1201 	EXP 	instruction_image: autoDraw = False
18.1201 	EXP 	cue_study: height = 0.2
