English,Portuguese,instructions.thisRepN,instructions.thisTrialN,instructions.thisN,instructions.thisIndex,cycle.thisRepN,cycle.thisTrialN,cycle.thisN,cycle.thisIndex,study_period.thisRepN,study_period.thisTrialN,study_period.thisN,study_period.thisIndex,distractor_period.thisRepN,distractor_period.thisTrialN,distractor_period.thisN,distractor_period.thisIndex,test_period.thisRepN,test_period.thisTrialN,test_period.thisN,test_period.thisIndex,instruction_text.started,instruction_image.started,back_button.started,next_button.started,back_button.numClicks,back_button.timesOn,back_button.timesOff,next_button.numClicks,next_button.timesOn,next_button.timesOff,cue_study.started,target_study.started,debug1.started,math_prompt.started,math_problem.started,math_resp.started,math_line.started,factor1,factor2,product,distractor_response,teclas_pressionadas,teclas_pressionadas_tempo,distractor_resp_corr,prompt_msg.started,prompt_resp.started,cue_test.started,target_test.started,response_corr,target_test.text,participant,session,date,expName,psychopyVersion,frameRate,
knee,joelho,,,,,0,0,0,0,0,0,0,2,,,,,,,,,21.422873799980152,21.422873799980152,21.422873799980152,21.422873799980152,0,,,5,"[0.6753777000121772, 0.5591952999820933, 0.11496690000058152, 0.11983139999210835, 0.10906909999903291]","[0.6753828999935649, 0.014968000003136694, 0.01947590001509525, 0.02797419999842532, 0.10907259999657981]",21.56242889998248,21.56242889998248,,,,,,,,,,,,,,,,,,,kily,001,2023-01-22_11h34.42.599,aula_046a,2022.2.1,None,
beer,cerveja,,,,,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,,,,,,21.753784100001212,21.753784100001212,,,,,,,,,,,,,,,,,,,kily,001,2023-01-22_11h34.42.599,aula_046a,2022.2.1,None,
bucket,balde,,,,,0,0,0,0,0,2,2,6,,,,,,,,,,,,,,,,,,,21.953761299984762,21.953761299984762,,,,,,,,,,,,,,,,,,,kily,001,2023-01-22_11h34.42.599,aula_046a,2022.2.1,None,
dog,cachorro,,,,,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,,,22.153669299994363,22.153669299994363,,,,,,,,,,,,,,,,,,,kily,001,2023-01-22_11h34.42.599,aula_046a,2022.2.1,None,
poison,veneno,,,,,0,0,0,0,0,4,4,7,,,,,,,,,,,,,,,,,,,22.353730000002543,22.353730000002543,,,,,,,,,,,,,,,,,,,kily,001,2023-01-22_11h34.42.599,aula_046a,2022.2.1,None,
egg,ovo,,,,,0,0,0,0,0,5,5,3,,,,,,,,,,,,,,,,,,,22.536449999985052,22.536449999985052,,,,,,,,,,,,,,,,,,,kily,001,2023-01-22_11h34.42.599,aula_046a,2022.2.1,None,
cloud,nuvem,,,,,0,0,0,0,0,6,6,1,,,,,,,,,,,,,,,,,,,22.754536199994618,22.754536199994618,,,,,,,,,,,,,,,,,,,kily,001,2023-01-22_11h34.42.599,aula_046a,2022.2.1,None,
soul,alma,,,,,0,0,0,0,0,7,7,8,,,,,,,,,,,,,,,,,,,22.93626669998048,22.93626669998048,,,,,,,,,,,,,,,,,,,kily,001,2023-01-22_11h34.42.599,aula_046a,2022.2.1,None,
broom,vassoura,,,,,0,0,0,0,0,8,8,5,,,,,,,,,,,,,,,,,,,23.153677700000117,23.153677700000117,,,,,,,,,,,,,,,,,,,kily,001,2023-01-22_11h34.42.599,aula_046a,2022.2.1,None,
food,comida,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,23.353705299989088,23.353705299989088,,,,,,,,,,,,,,,,,,,kily,001,2023-01-22_11h34.42.599,aula_046a,2022.2.1,None,
,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,23.568560799991246,23.568560799991246,24.021671599999536,24.021671599999536,24.021671599999536,18,2,36,333,"['num_3', 'num_3', 'num_3', 'num_3', 'num_3']","[241011.747971, 241011.8761286, 241012.0740896, 241012.1567484, 241012.3091833]",0,,,,,,,kily,001,2023-01-22_11h34.42.599,aula_046a,2022.2.1,None,
poison,veneno,,,,,0,0,0,0,,,,,,,,,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,28.555570800002897,28.555570800002897,29.923219099990092,29.923219099990092,1,veneno ,kily,001,2023-01-22_11h34.42.599,aula_046a,2022.2.1,None,
egg,ovo,,,,,0,0,0,0,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,36.936768199986545,36.936768199986545,0,"ovo,....",kily,001,2023-01-22_11h34.42.599,aula_046a,2022.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.921017899992876,43.921017899992876,,,,,,,,,
