English,Portuguese,instructions.thisRepN,instructions.thisTrialN,instructions.thisN,instructions.thisIndex,cycle.thisRepN,cycle.thisTrialN,cycle.thisN,cycle.thisIndex,study_period.thisRepN,study_period.thisTrialN,study_period.thisN,study_period.thisIndex,distractor_period.thisRepN,distractor_period.thisTrialN,distractor_period.thisN,distractor_period.thisIndex,test_period.thisRepN,test_period.thisTrialN,test_period.thisN,test_period.thisIndex,instruction_text.started,instruction_image.started,back_button.started,next_button.started,back_button.numClicks,back_button.timesOn,back_button.timesOff,next_button.numClicks,next_button.timesOn,next_button.timesOff,cue_study.started,target_study.started,debug1.started,math_prompt.started,math_problem.started,math_resp.started,math_line.started,factor1,factor2,product,distractor_response,teclas_pressionadas,teclas_pressionadas_tempo,distractor_resp_corr,prompt_msg.started,prompt_resp.started,cue_test.started,target_test.started,response_corr,target_test.text,participant,session,date,expName,psychopyVersion,frameRate,
beer,cerveja,,,,,0,0,0,0,0,0,0,4,,,,,,,,,24.016941999987466,24.016941999987466,24.016941999987466,24.016941999987466,0,,,5,"[0.6896418999822345, 0.11616060000960715, 0.11771020002197474, 0.1163360999780707, 0.11580440000398085]","[0.01458200000342913, 0.02799360000062734, 0.03354149998631328, 0.01531230000546202, 0.11580950001371093]",24.190243599994574,24.190243599994574,,,,,,,,,,,,,,,,,,,miryam,001,2023-01-22_11h35.56.800,aula_046a,2022.2.1,None,
dog,cachorro,,,,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,24.361197299993364,24.361197299993364,,,,,,,,,,,,,,,,,,,miryam,001,2023-01-22_11h35.56.800,aula_046a,2022.2.1,None,
cloud,nuvem,,,,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,,,24.561167099978775,24.561167099978775,,,,,,,,,,,,,,,,,,,miryam,001,2023-01-22_11h35.56.800,aula_046a,2022.2.1,None,
egg,ovo,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,24.748892999981763,24.748892999981763,,,,,,,,,,,,,,,,,,,miryam,001,2023-01-22_11h35.56.800,aula_046a,2022.2.1,None,
poison,veneno,,,,,0,0,0,0,0,4,4,7,,,,,,,,,,,,,,,,,,,24.961085399991134,24.961085399991134,,,,,,,,,,,,,,,,,,,miryam,001,2023-01-22_11h35.56.800,aula_046a,2022.2.1,None,
knee,joelho,,,,,0,0,0,0,0,5,5,2,,,,,,,,,,,,,,,,,,,25.16107750000083,25.16107750000083,,,,,,,,,,,,,,,,,,,miryam,001,2023-01-22_11h35.56.800,aula_046a,2022.2.1,None,
food,comida,,,,,0,0,0,0,0,6,6,9,,,,,,,,,,,,,,,,,,,25.3610843999777,25.3610843999777,,,,,,,,,,,,,,,,,,,miryam,001,2023-01-22_11h35.56.800,aula_046a,2022.2.1,None,
bucket,balde,,,,,0,0,0,0,0,7,7,6,,,,,,,,,,,,,,,,,,,25.561163599981228,25.561163599981228,,,,,,,,,,,,,,,,,,,miryam,001,2023-01-22_11h35.56.800,aula_046a,2022.2.1,None,
soul,alma,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,25.761227299983148,25.761227299983148,,,,,,,,,,,,,,,,,,,miryam,001,2023-01-22_11h35.56.800,aula_046a,2022.2.1,None,
broom,vassoura,,,,,0,0,0,0,0,9,9,5,,,,,,,,,,,,,,,,,,,25.961063199996715,25.961063199996715,,,,,,,,,,,,,,,,,,,miryam,001,2023-01-22_11h35.56.800,aula_046a,2022.2.1,None,
,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,26.215687799995067,26.215687799995067,26.647517999983393,26.647517999983393,26.647517999983393,9,17,153,,[],[],0,,,,,,,miryam,001,2023-01-22_11h35.56.800,aula_046a,2022.2.1,None,
soul,alma,,,,,0,0,0,0,,,,,,,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,31.18143479997525,31.18143479997525,31.94766089998302,31.94766089998302,1,alma,miryam,001,2023-01-22_11h35.56.800,aula_046a,2022.2.1,None,
poison,veneno,,,,,0,0,0,0,,,,,,,,,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,38.9486893999856,38.9486893999856,1,veneno,miryam,001,2023-01-22_11h35.56.800,aula_046a,2022.2.1,None,
egg,ovo,,,,,0,0,0,0,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,45.94745409997995,45.94745409997995,0,ovosmexidos,miryam,001,2023-01-22_11h35.56.800,aula_046a,2022.2.1,None,
broom,vassoura,,,,,0,0,0,0,,,,,,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,52.9475038999808,52.9475038999808,0,noiva,miryam,001,2023-01-22_11h35.56.800,aula_046a,2022.2.1,None,
dog,cachorro,,,,,0,0,0,0,,,,,,,,,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,59.947277200000826,59.947277200000826,0,cadelo,miryam,001,2023-01-22_11h35.56.800,aula_046a,2022.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.9466081999999,66.9466081999999,,,,,,,,,
