English,Portuguese
dog,cachorro
cloud,nuvem
knee,joelho
egg,ovo
beer,cerveja
broom,vassoura
bucket,balde
poison,veneno
soul,alma
food,comida
crab,caranguejo
horse,cavalo
scarf,cachecol
silk,seda
queen,rainha
carpet,tapete
curtain,cortina
snow,neve
friend,amigo
boat,barco
donkey,burro
sleep,sono
lake,lago
olives,azeitona
garden,jardim
manure,estrume
leaf,folha
frog,sapo
yeast,levedura
dust,poeira
glue,cola
wheel,roda
trench,trincheira
bone,osso
plate,prato
trouble,problema
cheese,queijo
parrot,papagaio
bribe,propina
flood,enchente
