English,Portuguese,instructions.thisRepN,instructions.thisTrialN,instructions.thisN,instructions.thisIndex,cycle.thisRepN,cycle.thisTrialN,cycle.thisN,cycle.thisIndex,study_period.thisRepN,study_period.thisTrialN,study_period.thisN,study_period.thisIndex,distractor_period.thisRepN,distractor_period.thisTrialN,distractor_period.thisN,distractor_period.thisIndex,test_period.thisRepN,test_period.thisTrialN,test_period.thisN,test_period.thisIndex,instruction_text.started,instruction_image.started,back_button.started,next_button.started,back_button.numClicks,back_button.timesOn,back_button.timesOff,next_button.numClicks,next_button.timesOn,next_button.timesOff,cue_study.started,target_study.started,debug1.started,math_prompt.started,math_problem.started,math_resp.started,math_line.started,factor1,factor2,product,distractor_response,teclas_pressionadas,teclas_pressionadas_tempo,distractor_resp_corr,prompt_msg.started,prompt_resp.started,cue_test.started,target_test.started,response_corr,target_test.text,thanks_msg.started,thanks_resp.started,session_duration,participant,session,date,expName,psychopyVersion,frameRate,
beer,cerveja,,,,,0,0,0,0,0,0,0,4,,,,,,,,,23.5464146000013,23.5464146000013,23.5464146000013,23.5464146000013,0,,,5,"[2.6157096000097226, 0.4956787999981316, 0.4980448999995133, 0.5326449999993201, 1.4674644000042463]","[0.043699699992430396, 0.06381569999211933, 0.06410719999985304, 0.08298910000303295, 1.4674747999961255]",25.052096300001722,25.052096300001722,,,,,,,,,,,,,,,,,,,,,,marquin,001,2023-01-28_16h01.25.402,aula_047,2022.2.1,60.33542878368778,
broom,vassoura,,,,,0,0,0,0,0,1,1,5,,,,,,,,,,,,,,,,,,,25.244774199993117,25.244774199993117,,,,,,,,,,,,,,,,,,,,,,marquin,001,2023-01-28_16h01.25.402,aula_047,2022.2.1,60.33542878368778,
bucket,balde,,,,,0,0,0,0,0,2,2,6,,,,,,,,,,,,,,,,,,,25.444329799996922,25.444329799996922,,,,,,,,,,,,,,,,,,,,,,marquin,001,2023-01-28_16h01.25.402,aula_047,2022.2.1,60.33542878368778,
poison,veneno,,,,,0,0,0,0,0,3,3,7,,,,,,,,,,,,,,,,,,,25.628502899999148,25.628502899999148,,,,,,,,,,,,,,,,,,,,,,marquin,001,2023-01-28_16h01.25.402,aula_047,2022.2.1,60.33542878368778,
cloud,nuvem,,,,,0,0,0,0,0,4,4,1,,,,,,,,,,,,,,,,,,,25.82820139999967,25.82820139999967,,,,,,,,,,,,,,,,,,,,,,marquin,001,2023-01-28_16h01.25.402,aula_047,2022.2.1,60.33542878368778,
food,comida,,,,,0,0,0,0,0,5,5,9,,,,,,,,,,,,,,,,,,,26.028392199994414,26.028392199994414,,,,,,,,,,,,,,,,,,,,,,marquin,001,2023-01-28_16h01.25.402,aula_047,2022.2.1,60.33542878368778,
soul,alma,,,,,0,0,0,0,0,6,6,8,,,,,,,,,,,,,,,,,,,26.228150399998412,26.228150399998412,,,,,,,,,,,,,,,,,,,,,,marquin,001,2023-01-28_16h01.25.402,aula_047,2022.2.1,60.33542878368778,
dog,cachorro,,,,,0,0,0,0,0,7,7,0,,,,,,,,,,,,,,,,,,,26.427822300000116,26.427822300000116,,,,,,,,,,,,,,,,,,,,,,marquin,001,2023-01-28_16h01.25.402,aula_047,2022.2.1,60.33542878368778,
knee,joelho,,,,,0,0,0,0,0,8,8,2,,,,,,,,,,,,,,,,,,,26.628034199995454,26.628034199995454,,,,,,,,,,,,,,,,,,,,,,marquin,001,2023-01-28_16h01.25.402,aula_047,2022.2.1,60.33542878368778,
egg,ovo,,,,,0,0,0,0,0,9,9,3,,,,,,,,,,,,,,,,,,,26.82821249999688,26.82821249999688,,,,,,,,,,,,,,,,,,,,,,marquin,001,2023-01-28_16h01.25.402,aula_047,2022.2.1,60.33542878368778,
,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,27.06058530000155,27.06058530000155,27.527373100005207,27.527373100005207,27.527373100005207,9,13,117,,[],[],0,,,,,,,,,,marquin,001,2023-01-28_16h01.25.402,aula_047,2022.2.1,60.33542878368778,
beer,cerveja,,,,,0,0,0,0,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,32.044855400003144,32.044855400003144,34.16165120000369,34.16165120000369,0,,,,,marquin,001,2023-01-28_16h01.25.402,aula_047,2022.2.1,60.33542878368778,
knee,joelho,,,,,0,0,0,0,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1447468999977,41.1447468999977,1,joelho,,,,marquin,001,2023-01-28_16h01.25.402,aula_047,2022.2.1,60.33542878368778,
bucket,balde,,,,,0,0,0,0,,,,,,,,,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,48.14463850000175,48.14463850000175,0,,,,,marquin,001,2023-01-28_16h01.25.402,aula_047,2022.2.1,60.33542878368778,
broom,vassoura,,,,,0,0,0,0,,,,,,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,55.16045850000228,55.16045850000228,0,,,,,marquin,001,2023-01-28_16h01.25.402,aula_047,2022.2.1,60.33542878368778,
poison,veneno,,,,,0,0,0,0,,,,,,,,,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,62.14508479999495,62.14508479999495,1,veneno,,,,marquin,001,2023-01-28_16h01.25.402,aula_047,2022.2.1,60.33542878368778,
egg,ovo,,,,,0,0,0,0,,,,,,,,,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,69.14421470000525,69.14421470000525,1,ovo,,,,marquin,001,2023-01-28_16h01.25.402,aula_047,2022.2.1,60.33542878368778,
soul,alma,,,,,0,0,0,0,,,,,,,,,0,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,76.14334999999846,76.14334999999846,0,,,,,marquin,001,2023-01-28_16h01.25.402,aula_047,2022.2.1,60.33542878368778,
dog,cachorro,,,,,0,0,0,0,,,,,,,,,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,83.14316140000301,83.14316140000301,0,,,,,marquin,001,2023-01-28_16h01.25.402,aula_047,2022.2.1,60.33542878368778,
food,comida,,,,,0,0,0,0,,,,,,,,,0,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,90.14306360000046,90.14306360000046,0,,,,,marquin,001,2023-01-28_16h01.25.402,aula_047,2022.2.1,60.33542878368778,
cloud,nuvem,,,,,0,0,0,0,,,,,,,,,0,9,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,97.1426577999955,97.1426577999955,0,,,,,marquin,001,2023-01-28_16h01.25.402,aula_047,2022.2.1,60.33542878368778,
dog,cachorro,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,104.15708520000044,104.15708520000044,,,,,,,,,,,,,,,,,,,,,,marquin,001,2023-01-28_16h01.25.402,aula_047,2022.2.1,60.33542878368778,
broom,vassoura,,,,,1,0,1,0,0,1,1,5,,,,,,,,,,,,,,,,,,,104.34226099999796,104.34226099999796,,,,,,,,,,,,,,,,,,,,,,marquin,001,2023-01-28_16h01.25.402,aula_047,2022.2.1,60.33542878368778,
food,comida,,,,,1,0,1,0,0,2,2,9,,,,,,,,,,,,,,,,,,,104.5422663000063,104.5422663000063,,,,,,,,,,,,,,,,,,,,,,marquin,001,2023-01-28_16h01.25.402,aula_047,2022.2.1,60.33542878368778,
poison,veneno,,,,,1,0,1,0,0,3,3,7,,,,,,,,,,,,,,,,,,,104.74222400000144,104.74222400000144,,,,,,,,,,,,,,,,,,,,,,marquin,001,2023-01-28_16h01.25.402,aula_047,2022.2.1,60.33542878368778,
knee,joelho,,,,,1,0,1,0,0,4,4,2,,,,,,,,,,,,,,,,,,,104.94326450000517,104.94326450000517,,,,,,,,,,,,,,,,,,,,,,marquin,001,2023-01-28_16h01.25.402,aula_047,2022.2.1,60.33542878368778,
bucket,balde,,,,,1,0,1,0,0,5,5,6,,,,,,,,,,,,,,,,,,,105.15758329999517,105.15758329999517,,,,,,,,,,,,,,,,,,,,,,marquin,001,2023-01-28_16h01.25.402,aula_047,2022.2.1,60.33542878368778,
soul,alma,,,,,1,0,1,0,0,6,6,8,,,,,,,,,,,,,,,,,,,105.35747970000375,105.35747970000375,,,,,,,,,,,,,,,,,,,,,,marquin,001,2023-01-28_16h01.25.402,aula_047,2022.2.1,60.33542878368778,
cloud,nuvem,,,,,1,0,1,0,0,7,7,1,,,,,,,,,,,,,,,,,,,105.55786630000512,105.55786630000512,,,,,,,,,,,,,,,,,,,,,,marquin,001,2023-01-28_16h01.25.402,aula_047,2022.2.1,60.33542878368778,
egg,ovo,,,,,1,0,1,0,0,8,8,3,,,,,,,,,,,,,,,,,,,105.75724520000222,105.75724520000222,,,,,,,,,,,,,,,,,,,,,,marquin,001,2023-01-28_16h01.25.402,aula_047,2022.2.1,60.33542878368778,
beer,cerveja,,,,,1,0,1,0,0,9,9,4,,,,,,,,,,,,,,,,,,,105.94248120000702,105.94248120000702,,,,,,,,,,,,,,,,,,,,,,marquin,001,2023-01-28_16h01.25.402,aula_047,2022.2.1,60.33542878368778,
,,,,,,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,106.15697969999746,106.15697969999746,,,,12,8,96,,['space'],[113538.8720901],0,,,,,,,,,,marquin,001,2023-01-28_16h01.25.402,aula_047,2022.2.1,60.33542878368778,
beer,cerveja,,,,,1,0,1,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,106.15697969999746,106.15697969999746,151.22174059999816,151.22174059999816,0,,,,,marquin,001,2023-01-28_16h01.25.402,aula_047,2022.2.1,60.33542878368778,
soul,alma,,,,,1,0,1,0,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,158.22276099999726,158.22276099999726,0,,,,,marquin,001,2023-01-28_16h01.25.402,aula_047,2022.2.1,60.33542878368778,
cloud,nuvem,,,,,1,0,1,0,,,,,,,,,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,165.22308769999654,165.22308769999654,0,,,,,marquin,001,2023-01-28_16h01.25.402,aula_047,2022.2.1,60.33542878368778,
food,comida,,,,,1,0,1,0,,,,,,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,172.22075560000667,172.22075560000667,1,comida,,,,marquin,001,2023-01-28_16h01.25.402,aula_047,2022.2.1,60.33542878368778,
dog,cachorro,,,,,1,0,1,0,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,179.22059729999455,179.22059729999455,1,cachorro,,,,marquin,001,2023-01-28_16h01.25.402,aula_047,2022.2.1,60.33542878368778,
bucket,balde,,,,,1,0,1,0,,,,,,,,,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,186.2200859000004,186.2200859000004,1,balde,,,,marquin,001,2023-01-28_16h01.25.402,aula_047,2022.2.1,60.33542878368778,
