English,Portuguese,instructions.thisRepN,instructions.thisTrialN,instructions.thisN,instructions.thisIndex,cycle.thisRepN,cycle.thisTrialN,cycle.thisN,cycle.thisIndex,study_period.thisRepN,study_period.thisTrialN,study_period.thisN,study_period.thisIndex,distractor_period.thisRepN,distractor_period.thisTrialN,distractor_period.thisN,distractor_period.thisIndex,test_period.thisRepN,test_period.thisTrialN,test_period.thisN,test_period.thisIndex,instruction_text.started,instruction_image.started,back_button.started,next_button.started,back_button.numClicks,back_button.timesOn,back_button.timesOff,next_button.numClicks,next_button.timesOn,next_button.timesOff,cue_study.started,target_study.started,cue_study.stopped,target_study.stopped,math_prompt.started,math_problem.started,math_resp.started,math_line.started,factor1,factor2,product,distractor_response,teclas_pressionadas,teclas_pressionadas_tempo,distractor_resp_corr,prompt_msg.started,prompt_resp.started,cue_test.started,target_test.started,response_corr,condition,target_test.text,cue_test.stopped,target_test.stopped,thanks_msg.started,thanks_resp.started,session_duration,participant,session,date,expName,psychopyVersion,frameRate,
trouble,problema,,,,,0,0,0,0,0,0,0,35,,,,,,,,,198.4908249,198.4908249,198.4908249,198.4908249,4,"[3.1949369000067236, 0.5968224999960512, 0.15087990000029095, 0.12859670000034384]","[0.07245620001049247, 0.05042590000084601, 0.06121639999037143, 0.03235699998913333]",8,"[0.5228492000023834, 0.3644700000004377, 0.19968960000551306, 0.14537040000141133, 0.2995208000065759, 0.1551227000018116, 0.13575990000390448, 0.4150958000100218]","[0.06425889999081846, 0.06595950000337325, 0.061350399992079474, 0.08002950000809506, 0.05551830001058988, 0.052499099998385645, 0.06522250000853091, 0.41510589999961667]",198.96617879999394,198.96617879999394,,,,,,,,,,,,,,,,,,,,,,,,,,robson,001,2023-01-28_17h04.32.129,aula_047,2022.2.1,60.53375028609759,
dog,cachorro,,,,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,203.94063830000232,203.94063830000232,,,,,,,,,,,,,,,,,,,,,,,,,,robson,001,2023-01-28_17h04.32.129,aula_047,2022.2.1,60.53375028609759,
flood,enchente,,,,,0,0,0,0,0,2,2,39,,,,,,,,,,,,,,,,,,,208.92165409999143,208.92165409999143,,,,,,,,,,,,,,,,,,,,,,,,,,robson,001,2023-01-28_17h04.32.129,aula_047,2022.2.1,60.53375028609759,
bribe,propina,,,,,0,0,0,0,0,3,3,38,,,,,,,,,,,,,,,,,,,213.9377778999915,213.9377778999915,,,,,,,,,,,,,,,,,,,,,,,,,,robson,001,2023-01-28_17h04.32.129,aula_047,2022.2.1,60.53375028609759,
garden,jardim,,,,,0,0,0,0,0,4,4,24,,,,,,,,,,,,,,,,,,,218.92217289999826,218.92217289999826,,,,,,,,,,,,,,,,,,,,,,,,,,robson,001,2023-01-28_17h04.32.129,aula_047,2022.2.1,60.53375028609759,
lake,lago,,,,,0,0,0,0,0,5,5,22,,,,,,,,,,,,,,,,,,,223.92231670000183,223.92231670000183,,,,,,,,,,,,,,,,,,,,,,,,,,robson,001,2023-01-28_17h04.32.129,aula_047,2022.2.1,60.53375028609759,
dust,poeira,,,,,0,0,0,0,0,6,6,29,,,,,,,,,,,,,,,,,,,228.92201009999553,228.92201009999553,,,,,,,,,,,,,,,,,,,,,,,,,,robson,001,2023-01-28_17h04.32.129,aula_047,2022.2.1,60.53375028609759,
food,comida,,,,,0,0,0,0,0,7,7,9,,,,,,,,,,,,,,,,,,,233.92168759999913,233.92168759999913,,,,,,,,,,,,,,,,,,,,,,,,,,robson,001,2023-01-28_17h04.32.129,aula_047,2022.2.1,60.53375028609759,
poison,veneno,,,,,0,0,0,0,0,8,8,7,,,,,,,,,,,,,,,,,,,238.9218877999956,238.9218877999956,,,,,,,,,,,,,,,,,,,,,,,,,,robson,001,2023-01-28_17h04.32.129,aula_047,2022.2.1,60.53375028609759,
bone,osso,,,,,0,0,0,0,0,9,9,33,,,,,,,,,,,,,,,,,,,243.92159230000107,243.92159230000107,248.92120430000068,248.92120430000068,,,,,,,,,,,,,,,,,,,,,,,,robson,001,2023-01-28_17h04.32.129,aula_047,2022.2.1,60.53375028609759,
