current_span,arrow_memory_instructions.thisRepN,arrow_memory_instructions.thisTrialN,arrow_memory_instructions.thisN,arrow_memory_instructions.thisIndex,arrow_memory_practice_trials.thisRepN,arrow_memory_practice_trials.thisTrialN,arrow_memory_practice_trials.thisN,arrow_memory_practice_trials.thisIndex,arrow_memory_practice.thisRepN,arrow_memory_practice.thisTrialN,arrow_memory_practice.thisN,arrow_memory_practice.thisIndex,rotation_instructions.thisRepN,rotation_instructions.thisTrialN,rotation_instructions.thisN,rotation_instructions.thisIndex,rotation_practice_trials.thisRepN,rotation_practice_trials.thisTrialN,rotation_practice_trials.thisN,rotation_practice_trials.thisIndex,rotspan_training_instructions.thisRepN,rotspan_training_instructions.thisTrialN,rotspan_training_instructions.thisN,rotspan_training_instructions.thisIndex,rotspan_training_trials.thisRepN,rotspan_training_trials.thisTrialN,rotspan_training_trials.thisN,rotspan_training_trials.thisIndex,rotspan_training_trial.thisRepN,rotspan_training_trial.thisTrialN,rotspan_training_trial.thisN,rotspan_training_trial.thisIndex,rotspan_testing_instructions.thisRepN,rotspan_testing_instructions.thisTrialN,rotspan_testing_instructions.thisN,rotspan_testing_instructions.thisIndex,rotspan_testing_trials.thisRepN,rotspan_testing_trials.thisTrialN,rotspan_testing_trials.thisN,rotspan_testing_trials.thisIndex,rotspan_testing_trial.thisRepN,rotspan_testing_trial.thisTrialN,rotspan_testing_trial.thisN,rotspan_testing_trial.thisIndex,thisRow.t,notes,welcome.started,welcome_msg.started,welcome_next.started,welcome_resp.started,welcome.stopped,participant_code,instruction.started,instr_msg.started,previous.started,next.started,instr_resp.started,instruction.stopped,arrow_memory.started,arrow.started,arrow.stopped,arrow_memory.stopped,recall.started,prompt_recall.started,A.started,B.started,C.started,D.started,E.started,F.started,G.started,H.started,I.started,J.started,K.started,L.started,M.started,N.started,O.started,P.started,clear_.started,blank.started,send.started,square.started,recall_response.started,recall.stopped,correct_response,participant_response,full_credit_score,partial_credit_score,edit_distance_score,task_phase,rotationtrials_correct,rotation_total_trials,rotation_percent_correct,recall_response.x,recall_response.y,recall_response.leftButton,recall_response.midButton,recall_response.rightButton,recall_response.time,recall_response.corr,recall_response.clicked_name,recall_feedback.started,recall_feedback_prompt.started,rotation_feedback_prompt.started,rotation_feedback_performance.started,recall_feedback.stopped,recall_feedback_prompt.stopped,rotation_feedback_prompt.stopped,rotation_feedback_performance.stopped,rotation.started,rotation_prompt.started,continue_.started,symmetry_problem_next.started,rotation_problem.started,rotation.stopped,rotation_letter,rotation_orientation,rotation_flip,rotation_corr,problem_rt,rotation_answer.started,rotation_answer_screen.started,yes.started,no.started,rotation_response.started,rotation_answer.stopped,answer_rt,rotation_speed_error,rotation_accuracy_error,rotation_participant_corr,rotation_problem,rotation_status,rotation_participant_response,rotation_answer_feedback.started,true_feedback.started,false_feedback.started,rotation_corrective_feedback_msg.started,rotation_answer_feedback.stopped,true_feedback.stopped,false_feedback.stopped,rotation_corrective_feedback_msg.stopped,rotation_errors,ID,Nome Completo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020032099913805723,0.1232439000159502,0.1232439000159502,0.04690259997732937,29.354270600015298,000541668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000541668,Relâmpago Marquin,2024-10-13_19h00.30.749,rotspan,2024.1.5,None,2024-10-13 19h07.03.494959 -0300,
2,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.864468100015074,,,,,,,000541668,39.28835719986819,39.3145430998411,39.3145430998411,39.3145430998411,0.013693299842998385,40.83529509999789,40.84982010000385,41.34827880002558,42.84820539993234,42.83443889999762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000541668,Relâmpago Marquin,2024-10-13_19h00.30.749,rotspan,2024.1.5,None,2024-10-13 19h07.03.494959 -0300,
2,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.84820539993234,,,,,,,,,,,,,,42.83469449984841,43.34860979998484,44.86453829985112,44.83433220000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000541668,Relâmpago Marquin,2024-10-13_19h00.30.749,rotspan,2024.1.5,None,2024-10-13 19h07.03.494959 -0300,
2,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.83441639994271,44.86453829985112,44.86453829985112,44.86453829985112,44.86453829985112,44.86453829985112,44.86453829985112,44.86453829985112,44.86453829985112,44.86453829985112,44.86453829985112,44.86453829985112,44.86453829985112,44.86453829985112,44.86453829985112,44.86453829985112,44.86453829985112,44.86453829985112,44.86453829985112,44.86453829985112,44.86453829985112,44.86453829985112,-0.0008505999576300383,49.73800399992615,DA,DA,2,2,2,arrow_memory_practice_phase,0,0,0,"[0.0925, -0.0025, 0.5825]","[-0.013333333333333334, 0.31, -0.7866666666666666]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.8061658998485655, 3.770748500013724, 4.902339299907908]","[0, 0, 0]","['D', 'A', 'send']",49.75431849993765,49.79728529998101,49.79728529998101,49.79728529998101,51.76697019999847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000541668,Relâmpago Marquin,2024-10-13_19h00.30.749,rotspan,2024.1.5,None,2024-10-13 19h07.03.494959 -0300,
2,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.780942199984565,,,,,,,,,,,,,,51.767748799873516,52.264463800005615,53.76464829989709,53.75107009988278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000541668,Relâmpago Marquin,2024-10-13_19h00.30.749,rotspan,2024.1.5,None,2024-10-13 19h07.03.494959 -0300,
2,,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.76464829989709,,,,,,,,,,,,,,53.75132239982486,54.26429530000314,55.78060259995982,55.75086629996076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000541668,Relâmpago Marquin,2024-10-13_19h00.30.749,rotspan,2024.1.5,None,2024-10-13 19h07.03.494959 -0300,
2,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.750943599967286,55.78060259995982,55.78060259995982,55.78060259995982,55.78060259995982,55.78060259995982,55.78060259995982,55.78060259995982,55.78060259995982,55.78060259995982,55.78060259995982,55.78060259995982,55.78060259995982,55.78060259995982,55.78060259995982,55.78060259995982,55.78060259995982,55.78060259995982,55.78060259995982,55.78060259995982,55.78060259995982,55.78060259995982,0.028801299864426255,67.5710376999341,MB,MB,2,2,2,arrow_memory_practice_phase,0,0,0,"[0.005, 0.2825, -0.55, -0.0025, 0.095, 0.51]","[-0.4266666666666667, 0.45666666666666667, -0.8033333333333333, -0.46, 0.25333333333333335, -0.8333333333333334]","[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[3.5066354000009596, 5.7059079001192, 8.053097299998626, 9.788490800186992, 10.92107280017808, 11.786885200068355]","[0, 0, 0, 0, 0, 0]","['M', 'J', 'clear_', 'M', 'B', 'send']",67.5880487000104,67.5972362998873,67.5972362998873,67.5972362998873,69.58655729983002,69.59775479999371,69.59775479999371,69.59775479999371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000541668,Relâmpago Marquin,2024-10-13_19h00.30.749,rotspan,2024.1.5,None,2024-10-13 19h07.03.494959 -0300,
2,,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.59775479999371,,,,,,,,,,,,,,69.58731850003824,70.09761939989403,71.59756529983133,71.585522999987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000541668,Relâmpago Marquin,2024-10-13_19h00.30.749,rotspan,2024.1.5,None,2024-10-13 19h07.03.494959 -0300,
2,,,,,2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.59756529983133,,,,,,,,,,,,,,71.5857899999246,72.09742689994164,73.6147199999541,73.58580749994144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000541668,Relâmpago Marquin,2024-10-13_19h00.30.749,rotspan,2024.1.5,None,2024-10-13 19h07.03.494959 -0300,
2,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.58588010002859,73.6147199999541,73.6147199999541,73.6147199999541,73.6147199999541,73.6147199999541,73.6147199999541,73.6147199999541,73.6147199999541,73.6147199999541,73.6147199999541,73.6147199999541,73.6147199999541,73.6147199999541,73.6147199999541,73.6147199999541,73.6147199999541,73.6147199999541,73.6147199999541,73.6147199999541,73.6147199999541,73.6147199999541,0.029581299982964993,103.8553416999057,GF,–F,0,1,1,arrow_memory_practice_phase,0,0,0,"[-0.11, -0.535, -0.045, -0.1, 0.59]","[-0.03666666666666667, -0.7533333333333333, -0.77, -0.023333333333333334, -0.79]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[7.452147199772298, 23.00706739979796, 23.9916422998067, 25.208005299791694, 30.23663689987734]","[0, 0, 0, 0, 0]","['F', 'clear_', 'blank', 'F', 'send']",103.86890459991992,103.89546089991927,103.89546089991927,103.89546089991927,105.88412209996022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000541668,Relâmpago Marquin,2024-10-13_19h00.30.749,rotspan,2024.1.5,None,2024-10-13 19h07.03.494959 -0300,
