14.5924 	WARNING 	Requested an unavailable screen number - using first available.
15.9732 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000016A3D6A13A0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000016A3D6A1340>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1, -1, -1]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000016A3D6A1190>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000016A3DA9A280>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=1, size=array([1366,  768]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
15.9732 	EXP 	window1: backgroundImage = ''
15.9732 	EXP 	window1: backgroundFit = 'none'
15.9735 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000016A3D6A1520>
15.9737 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000016A3D6A1520>
15.9770 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000016A3D6A1520>
15.9780 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000016A3D6A1520>
16.0500 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000016A3D6A1520>
16.0501 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000016A3D6A1520>
16.0508 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000016A3D6A1520>
16.0514 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000016A3D6A1520>
16.0883 	EXP 	window1: Attempting to measure frame rate of screen (1) ...
16.0883 	EXP 	window1: recordFrameIntervals = False
16.2453 	EXP 	window1: recordFrameIntervals = True
16.4283 	EXP 	Screen (1) actual frame rate measured at 60.09Hz
16.4284 	EXP 	window1: recordFrameIntervals = False
16.4285 	EXP 	window1: mouseVisible = False
20.6417 	EXP 	posner: status = STARTED
20.6420 	EXP 	window1: mouseVisible = False
