instructions.thisRepN,instructions.thisTrialN,instructions.thisN,instructions.thisIndex,keeping_track_trials.thisRepN,keeping_track_trials.thisTrialN,keeping_track_trials.thisN,keeping_track_trials.thisIndex,keeping_track_word.thisRepN,keeping_track_word.thisTrialN,keeping_track_word.thisN,keeping_track_word.thisIndex,keeping_track_questions.thisRepN,keeping_track_questions.thisTrialN,keeping_track_questions.thisN,keeping_track_questions.thisIndex,welcome_msg.started,welcome_next.started,welcome_resp.started,participant_code,instr_msg.started,previous.started,next.started,instr_resp.started,new_trial_prompt.started,new_trial_next.started,new_trial_resp.started,to_be_remembered_categories.started,to_be_remembered.started,to_be_remembered.stopped,current_categories,category,word,to_be_remembered_categories_2.started,prompt_recall.started,multiple_choice_options.started,recall_response.started,n_targets,target_category,option_1,option_2,option_3,correct_value,correct_resp,participant_resp,score,recall_response.keys,recall_response.rt,thanks_prompt.started,thanks_spacebar.started,thanks_resp.started,session_duration,ID,Nome Completo,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,91.87926749989856,91.87926749989856,0.02379300002939999,647623292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647623292,Marcos Lima,2025-09-06_13h59.48.164,ktt,2022.2.1,59.986275147471545,
,,,,0,0,0,0,0,0,0,0,,,,,,,,647623292,95.16317059996072,95.16317059996072,95.16317059996072,0.011054500006139278,95.32933849992696,95.32933849992696,0.0006890000076964498,95.52013989991974,95.97962569992524,97.48233379994053,Animais   Metais   Frutas,Frutas,Morango,,,,,,,,,,,,,,,,,,,,647623292,Marcos Lima,2025-09-06_13h59.48.164,ktt,2022.2.1,59.986275147471545,
,,,,0,0,0,0,1,0,1,0,,,,,,,,647623292,,,,,,,,97.51459979999345,97.98128259996884,,Animais   Metais   Frutas,Animais,Baleia,,,,,,,,,,,,,,,,,,,,647623292,Marcos Lima,2025-09-06_13h59.48.164,ktt,2022.2.1,59.986275147471545,
,,,,0,0,0,0,2,0,2,0,,,,,,,,647623292,,,,,,,,99.52588289999403,99.97949339996558,101.47921049990691,Animais   Metais   Frutas,Metais,Ferro,,,,,,,,,,,,,,,,,,,,647623292,Marcos Lima,2025-09-06_13h59.48.164,ktt,2022.2.1,59.986275147471545,
,,,,0,0,0,0,3,0,3,0,,,,,,,,647623292,,,,,,,,101.52855669998098,101.99558889993932,,Animais   Metais   Frutas,Países,Canadá,,,,,,,,,,,,,,,,,,,,647623292,Marcos Lima,2025-09-06_13h59.48.164,ktt,2022.2.1,59.986275147471545,
,,,,0,0,0,0,4,0,4,0,,,,,,,,647623292,,,,,,,,103.51788439997472,103.99586749996524,105.49520229990594,Animais   Metais   Frutas,Cores,Amarelo,,,,,,,,,,,,,,,,,,,,647623292,Marcos Lima,2025-09-06_13h59.48.164,ktt,2022.2.1,59.986275147471545,
,,,,0,0,0,0,5,0,5,0,,,,,,,,647623292,,,,,,,,105.51872419996653,105.97914499999024,,Animais   Metais   Frutas,Animais,Urso,,,,,,,,,,,,,,,,,,,,647623292,Marcos Lima,2025-09-06_13h59.48.164,ktt,2022.2.1,59.986275147471545,
,,,,0,0,0,0,6,0,6,0,,,,,,,,647623292,,,,,,,,107.53173589997459,107.99938199995086,,Animais   Metais   Frutas,Cores,Vermelho,,,,,,,,,,,,,,,,,,,,647623292,Marcos Lima,2025-09-06_13h59.48.164,ktt,2022.2.1,59.986275147471545,
,,,,0,0,0,0,7,0,7,0,,,,,,,,647623292,,,,,,,,109.58987829997204,109.99740979995113,111.49544089997653,Animais   Metais   Frutas,Países,Alemanha,,,,,,,,,,,,,,,,,,,,647623292,Marcos Lima,2025-09-06_13h59.48.164,ktt,2022.2.1,59.986275147471545,
,,,,0,0,0,0,8,0,8,0,,,,,,,,647623292,,,,,,,,111.51257539994549,112.07465450000018,,Animais   Metais   Frutas,Frutas,Maçã,,,,,,,,,,,,,,,,,,,,647623292,Marcos Lima,2025-09-06_13h59.48.164,ktt,2022.2.1,59.986275147471545,
,,,,0,0,0,0,9,0,9,0,,,,,,,,647623292,,,,,,,,113.54655049997382,114.16219509998336,,Animais   Metais   Frutas,Metais,Alumínio,,,,,,,,,,,,,,,,,,,,647623292,Marcos Lima,2025-09-06_13h59.48.164,ktt,2022.2.1,59.986275147471545,
,,,,0,0,0,0,10,0,10,0,,,,,,,,647623292,,,,,,,,115.52920839993749,115.99827829992864,,Animais   Metais   Frutas,Metais,Cobre,,,,,,,,,,,,,,,,,,,,647623292,Marcos Lima,2025-09-06_13h59.48.164,ktt,2022.2.1,59.986275147471545,
,,,,0,0,0,0,11,0,11,0,,,,,,,,647623292,,,,,,,,117.58070419996511,117.98305299994536,119.4994744999567,Animais   Metais   Frutas,Animais,Zebra,,,,,,,,,,,,,,,,,,,,647623292,Marcos Lima,2025-09-06_13h59.48.164,ktt,2022.2.1,59.986275147471545,
,,,,0,0,0,0,12,0,12,0,,,,,,,,647623292,,,,,,,,119.65736859990284,119.98870479990728,,Animais   Metais   Frutas,Cores,Azul,,,,,,,,,,,,,,,,,,,,647623292,Marcos Lima,2025-09-06_13h59.48.164,ktt,2022.2.1,59.986275147471545,
,,,,0,0,0,0,13,0,13,0,,,,,,,,647623292,,,,,,,,121.51436589995865,121.98093989992049,123.49662479991093,Animais   Metais   Frutas,Parentes,Pai,,,,,,,,,,,,,,,,,,,,647623292,Marcos Lima,2025-09-06_13h59.48.164,ktt,2022.2.1,59.986275147471545,
,,,,0,0,0,0,14,0,14,0,,,,,,,,647623292,,,,,,,,123.51251179992687,123.99921229993924,,Animais   Metais   Frutas,Parentes,Filha,,,,,,,,,,,,,,,,,,,,647623292,Marcos Lima,2025-09-06_13h59.48.164,ktt,2022.2.1,59.986275147471545,
,,,,0,0,0,0,,,,,0,0,0,0,,,,647623292,,,,,,,,,,,Animais   Metais   Frutas,,,125.64758389990311,125.64758389990311,125.64758389990311,125.64758389990311,3,Animais,Zebra,Baleia,Urso,Zebra,1,1,1,num_1,225.23657940002158,,,,,647623292,Marcos Lima,2025-09-06_13h59.48.164,ktt,2022.2.1,59.986275147471545,
